time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/loss,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/learning_rate,rollout/ep_len_mean,train/clip_fraction,train/n_updates,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/explained_variance
850,98,41,83968,24801.7734375,-0.003211963987268973,0.2,-1.1839313264936209,0.0003,4000.0,0.012451171875,400,53335.49045325001,39182.97891845703,0.007497545,0.0
849,101,42,86016,44063.0703125,-0.0030646242143120618,0.2,-1.1273194655776024,0.0003,4000.0,0.0142578125,410,53545.05195771429,96434.15629882812,0.013295647,0.0
849,103,43,88064,20882.279296875,-0.0044570014797500335,0.2,-1.2203491274267435,0.0003,4000.0,0.033447265625,420,53789.140216727275,46964.557598876956,0.010148203,0.0
848,106,44,90112,44949.09765625,-0.003284151612024289,0.2,-1.1831766173243523,0.0003,4000.0,0.0052734375,430,53789.140216727275,93807.08969726562,0.00788236,0.0
848,108,45,92160,26060.658203125,-0.003895862496574409,0.2,-1.212521894648671,0.0003,4000.0,0.040673828125,440,53964.288295608705,48397.34114990234,0.010113799,5.960464477539063e-08
848,111,46,94208,31530.73046875,-0.0039272125039133245,0.2,-1.2052054781466723,0.0003,4000.0,0.01240234375,450,53964.288295608705,62235.18291015625,0.0070591336,1.1920928955078125e-07
848,113,47,96256,9915.9423828125,-0.0069287521269870925,0.2,-1.1736035253852606,0.0003,4000.0,0.084375,460,53742.132939541676,28188.082345581053,0.010879869,0.0
847,115,48,98304,20776.84375,-0.00877960167999845,0.2,-1.172240060940385,0.0003,4000.0,0.08720703125,470,53742.132939541676,41429.83823242188,0.014164905,0.0
847,118,49,100352,27503.490234375,-0.0034632044247700834,0.2,-1.1460884392261506,0.0003,4000.0,0.01357421875,480,53601.28521696,51851.61947021484,0.00519467,0.0
847,120,50,102400,12956.9580078125,-0.005062024638755247,0.2,-1.120138555020094,0.0003,4000.0,0.03642578125,490,53601.28521696,28234.041873168946,0.0070315613,5.960464477539063e-08
847,123,51,104448,24606.263671875,-0.004633274858497316,0.2,-1.078203170746565,0.0003,4000.0,0.037841796875,500,53681.59906619231,36945.77504882812,0.0073823542,0.0
846,125,52,106496,37251.8984375,-0.0015904542262433097,0.2,-1.142002261802554,0.0003,4000.0,0.00908203125,510,53681.59906619231,80123.5467163086,0.002795542,0.0
846,128,53,108544,27186.62109375,-0.001652514730085386,0.2,-1.185889445245266,0.0003,4000.0,0.002392578125,520,53695.76053074075,49637.29314575195,0.004752567,1.1920928955078125e-07
846,130,54,110592,19487.962890625,-0.0029258119233418257,0.2,-1.2071122646331787,0.0003,4000.0,0.016748046875,530,53695.76053074075,35966.93200073242,0.007253478,0.0
846,133,55,112640,9300.818359375,-0.0035815639203065075,0.2,-1.1570079043507575,0.0003,4000.0,0.025927734375,540,53422.833346035724,21635.90227355957,0.0054486985,0.0
846,135,56,114688,18106.861328125,-0.004627730320498813,0.2,-1.1956734653562306,0.0003,4000.0,0.042529296875,550,53422.833346035724,36154.729919433594,0.0098821595,0.0
845,138,57,116736,16956.091796875,-0.0022635338857071472,0.2,-1.0785330042243004,0.0003,4000.0,0.0255859375,560,53467.31186644828,33605.30348510742,0.009815345,0.0
845,140,58,118784,18616.005859375,-0.010415138614189346,0.2,-1.1374716363847255,0.0003,4000.0,0.116748046875,570,53467.31186644828,37393.866967773436,0.010028227,0.0
845,142,59,120832,22794.7109375,-0.0035011204367037863,0.2,-1.1984096631407737,0.0003,4000.0,0.04130859375,580,53069.65840370001,40440.07590942383,0.0063592484,0.0
845,145,60,122880,11185.7685546875,-0.007486202550353482,0.2,-1.1478407856076955,0.0003,4000.0,0.063037109375,590,53069.65840370001,24829.47039794922,0.00800035,5.960464477539063e-08
844,147,61,124928,13627.0419921875,-0.006301141020958312,0.2,-1.1305491767823697,0.0003,4000.0,0.049169921875,600,52528.361190580654,23177.700268554687,0.006566217,0.0
844,150,62,126976,11734.068359375,-0.005193039726873394,0.2,-1.1569272182881831,0.0003,4000.0,0.0201171875,610,52528.361190580654,28316.07714538574,0.0061469246,0.0
843,152,63,129024,24228.56640625,-0.004274790937779471,0.2,-1.166348712146282,0.0003,4000.0,0.021923828125,620,52661.21393315625,46279.81947631836,0.010581877,0.0
843,155,64,131072,19181.166015625,-0.002109254670358496,0.2,-1.1070935808122158,0.0003,4000.0,0.0126953125,630,52661.21393315625,43102.381536865236,0.007950609,0.0
843,157,65,133120,17332.201171875,-0.005819844968937104,0.2,-1.0645067278295754,0.0003,4000.0,0.053759765625,640,52754.33308054545,54731.81663818359,0.009614623,0.0
843,160,66,135168,24672.24609375,-0.007361628783110063,0.2,-1.0137282393872737,0.0003,4000.0,0.12939453125,650,52754.33308054545,43652.22426147461,0.008494888,0.0
843,162,67,137216,33154.14453125,-0.0021264643102767876,0.2,-1.0334454957395791,0.0003,4000.0,0.008154296875,660,52898.86134564706,56952.21363525391,0.0028907796,-1.1920928955078125e-07
842,165,68,139264,15855.28515625,-0.00196886322228238,0.2,-1.0084207670763135,0.0003,4000.0,0.01611328125,670,52898.86134564706,31469.742785644532,0.0056983577,0.0
842,167,69,141312,24146.01953125,-0.0025777787319384514,0.2,-1.020955135114491,0.0003,4000.0,0.0052734375,680,52798.69136077143,51281.63944091797,0.0020659897,0.0
842,170,70,143360,10381.0078125,-0.0020863630328676664,0.2,-1.0268878651782871,0.0003,4000.0,0.009423828125,690,52798.69136077143,24661.552963256836,0.0031790312,5.960464477539063e-08
842,172,71,145408,20819.341796875,-0.007103126900619827,0.2,-0.9721406294032932,0.0003,4000.0,0.058984375,700,52878.199479222225,52287.55753173828,0.009998301,0.0
841,175,72,147456,30493.064453125,-0.00494462523929542,0.2,-0.9863538624718785,0.0003,4000.0,0.03984375,710,52878.199479222225,44594.58004760742,0.0051100403,1.7881393432617188e-07
841,177,73,149504,18154.287109375,-0.008012344920280157,0.2,-0.9868649197742343,0.0003,4000.0,0.096435546875,720,52769.23058789189,32338.51231994629,0.011133755,0.0
841,180,74,151552,21246.193359375,-0.003797330195084214,0.2,-0.9028284303843975,0.0003,4000.0,0.033056640625,730,52769.23058789189,36305.035736083984,0.007033402,0.0
841,182,75,153600,11464.56640625,-0.004475595554686152,0.2,-0.8929757801815867,0.0003,4000.0,0.049267578125,740,52738.902144368425,27915.249780273436,0.009865334,0.0
841,185,76,155648,18630.779296875,-0.003390750813559862,0.2,-0.8913145076483489,0.0003,4000.0,0.025390625,750,52738.902144368425,37903.98508911133,0.005866215,0.0
841,187,77,157696,18004.900390625,-0.002057860726927174,0.2,-0.933312831632793,0.0003,4000.0,0.013916015625,760,52786.35569153847,44382.05668945312,0.0081132315,1.1920928955078125e-07
840,189,78,159744,12347.130859375,-0.004353231453569606,0.2,-0.9483147853985429,0.0003,4000.0,0.046337890625,770,52786.35569153847,22236.223236083984,0.00558198,-1.1920928955078125e-07
840,192,79,161792,26664.783203125,-0.0024667962119565346,0.2,-0.9689051205292344,0.0003,4000.0,0.017333984375,780,52744.754571125006,57751.45037231445,0.0037985505,0.0
840,194,80,163840,13819.4814453125,-0.0034216299376566895,0.2,-0.9349742462858558,0.0003,4000.0,0.036865234375,790,52744.754571125006,32019.935153198243,0.0034759708,5.960464477539063e-08
840,197,81,165888,26833.72265625,-0.0011428383259044494,0.2,-0.8906310554593801,0.0003,4000.0,0.000634765625,800,52806.48457624391,56610.00015869141,0.0015915799,5.960464477539063e-08
840,199,82,167936,35155.015625,-0.0038000211658072657,0.2,-1.005358680523932,0.0003,4000.0,0.018212890625,810,52806.48457624391,72095.53957519532,0.0060904576,0.0
840,202,83,169984,29016.0859375,-0.005547832370211836,0.2,-1.0068315031006931,0.0003,4000.0,0.082861328125,820,53073.183646238096,35631.8467590332,0.0105534345,0.0
840,204,84,172032,12919.6484375,-0.003547600921592675,0.2,-0.9403170479461551,0.0003,4000.0,0.024560546875,830,52968.864739488374,25593.781350708006,0.0041371235,0.0
839,207,85,174080,13481.5634765625,-0.006069965103233699,0.2,-0.9478588266298175,0.0003,4000.0,0.074755859375,840,52968.864739488374,34402.49189453125,0.0056492984,-1.1920928955078125e-07
839,209,86,176128,18318.42578125,-0.0023580128894536757,0.2,-0.8613885078579188,0.0003,4000.0,0.024169921875,850,52881.80782495455,38739.28120117188,0.004117471,0.0
839,212,87,178176,9676.095703125,-0.0022310593660222365,0.2,-0.9917331498116255,0.0003,4000.0,0.03125,860,52881.80782495455,20086.504968261717,0.0056112465,0.0
837,215,88,180224,14098.2861328125,-0.0015575268684187905,0.2,-1.0507082052528858,0.0003,4000.0,0.011669921875,870,53064.91440975556,28300.7488861084,0.004999119,-1.1920928955078125e-07
837,217,89,182272,36608.8828125,-0.00443147835903801,0.2,-0.9093434585258364,0.0003,4000.0,0.080810546875,880,53064.91440975556,87741.48237304688,0.008569257,0.0
837,220,90,184320,17295.833984375,-0.001246564750908874,0.2,-1.0422585599124432,0.0003,4000.0,0.006396484375,890,53215.35239880436,40054.74829711914,0.0039860685,0.0
836,222,91,186368,28338.322265625,-0.0064718701905803755,0.2,-1.0043475164100528,0.0003,4000.0,0.04287109375,900,53215.35239880436,44244.959155273435,0.006987286,0.0
836,225,92,188416,16191.857421875,-0.0030577729601645844,0.2,-1.0220555771142243,0.0003,4000.0,0.024609375,910,53181.09489031916,33311.35562133789,0.006583721,0.0
836,227,93,190464,9196.984375,-0.006037529646710027,0.2,-0.9901464361697435,0.0003,4000.0,0.052734375,920,53181.09489031916,29959.874600219726,0.0075973296,0.0
836,230,94,192512,19873.4375,-0.0018374286632024451,0.2,-0.7554555531591177,0.0003,4000.0,0.011376953125,930,53205.589005875,40839.3707397461,0.0022300505,0.0
836,232,95,194560,17675.53125,-0.0034910412738099693,0.2,-0.5621324280276895,0.0003,4000.0,0.020263671875,940,53205.589005875,40509.840295410155,0.0032941443,-1.1920928955078125e-07
836,235,96,196608,33202.5859375,-0.004072730620828224,0.2,-0.8642706155776978,0.0003,4000.0,0.047998046875,950,53392.71001214286,66647.95493164062,0.0051757446,-1.1920928955078125e-07
836,237,97,198656,18719.701171875,-0.005133927165297791,0.2,-0.9094246460124851,0.0003,4000.0,0.054638671875,960,53392.71001214286,32033.82047729492,0.0046595996,1.1920928955078125e-07
836,240,98,200704,19423.642578125,-0.007143397469189949,0.2,-1.0498570051044225,0.0003,4000.0,0.10888671875,970,53404.9872869,43988.76029663086,0.009037137,0.0
