timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,exploration_score,loss,timestamp
9000,5,9085.008037223783,45425.04018611892,0.78,0.610275,312.0,4135.01953125,2025-12-22T00:27:34.943561Z
9250,5,9085.008037223783,45425.04018611892,0.84,0.79425,336.0,4135.01953125,2025-12-22T00:27:35.605156Z
9500,5,9085.008037223783,45425.04018611892,0.8475,0.5246750000000001,339.0,4135.01953125,2025-12-22T00:27:36.235970Z
9750,6,9020.68947697751,45103.44738488755,0.295,0.6286750000000001,118.0,4135.01953125,2025-12-22T00:27:37.013451Z
10000,6,9020.68947697751,45103.44738488755,0.6075,0.5438250000000001,243.0,4135.01953125,2025-12-22T00:27:37.653004Z
10250,6,9020.68947697751,45103.44738488755,0.7675,0.572825,307.0,3875.0947265625,2025-12-22T00:27:39.844472Z
10500,6,9020.68947697751,45103.44738488755,0.84,0.516675,336.0,3875.0947265625,2025-12-22T00:27:40.517977Z
10750,6,9020.68947697751,45103.44738488755,0.9175,0.4443750000000001,367.0,3875.0947265625,2025-12-22T00:27:41.202324Z
11000,6,9020.68947697751,45103.44738488755,0.94,0.68105,376.0,3875.0947265625,2025-12-22T00:27:41.869282Z
11250,7,9072.600409116896,45363.00204558448,0.1175,0.2688750000000001,47.0,3875.0947265625,2025-12-22T00:27:42.516596Z
11500,7,9072.600409116896,45363.00204558448,0.5325,0.5368750000000001,213.0,3875.0947265625,2025-12-22T00:27:43.161960Z
11750,7,9072.600409116896,45363.00204558448,0.7,0.5907500000000001,280.0,3875.0947265625,2025-12-22T00:27:43.807647Z
12000,7,9072.600409116896,45363.00204558448,0.7775,0.628075,311.0,3875.0947265625,2025-12-22T00:27:44.596809Z
12250,7,9072.600409116896,45363.00204558448,0.8325,0.608925,333.0,3875.0947265625,2025-12-22T00:27:45.236755Z
12500,7,9072.600409116896,45363.00204558448,0.91,0.6390500000000001,364.0,3432.464111328125,2025-12-22T00:27:47.611322Z
12750,7,9072.600409116896,45363.00204558448,0.9375,0.5642,375.0,3432.464111328125,2025-12-22T00:27:48.277759Z
13000,8,9011.01954384023,45055.09771920115,0.405,0.47467500000000007,162.0,3432.464111328125,2025-12-22T00:27:48.929040Z
13250,8,9011.01954384023,45055.09771920115,0.6125,0.5690750000000001,245.0,3432.464111328125,2025-12-22T00:27:49.592862Z
13500,8,9011.01954384023,45055.09771920115,0.7,0.5710250000000001,280.0,3432.464111328125,2025-12-22T00:27:50.263619Z
13750,8,9011.01954384023,45055.09771920115,0.7575,0.596225,303.0,3432.464111328125,2025-12-22T00:27:50.887749Z
