timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,exploration_score,loss,timestamp
250,0,0.0,0.0,0.3525,0.5843250000000001,141.0,,2025-12-22T01:27:39.127156Z
500,0,0.0,0.0,0.505,0.6276750000000001,202.0,,2025-12-22T01:27:39.757660Z
750,0,0.0,0.0,0.64,0.5901250000000001,256.0,,2025-12-22T01:27:40.396429Z
1000,0,0.0,0.0,0.805,0.5416750000000001,322.0,,2025-12-22T01:27:41.038712Z
1250,0,0.0,0.0,0.8575,0.6643750000000002,343.0,,2025-12-22T01:27:41.685911Z
1500,0,0.0,0.0,0.87,0.5932750000000001,348.0,,2025-12-22T01:27:42.316327Z
1750,1,7939.319512988208,39696.59756494104,0.2225,0.575825,89.0,,2025-12-22T01:27:42.961584Z
2000,1,7939.319512988208,39696.59756494104,0.52,0.659625,208.0,,2025-12-22T01:27:43.744044Z
2250,1,7939.319512988208,39696.59756494104,0.6475,0.49940000000000007,259.0,2956.00927734375,2025-12-22T01:27:45.918724Z
2500,1,7939.319512988208,39696.59756494104,0.745,0.627625,298.0,2956.00927734375,2025-12-22T01:27:46.580889Z
2750,1,7939.319512988208,39696.59756494104,0.82,0.5195000000000001,328.0,2956.00927734375,2025-12-22T01:27:47.214414Z
3000,1,7939.319512988208,39696.59756494104,0.87,0.53305,348.0,2956.00927734375,2025-12-22T01:27:47.832952Z
3250,2,8162.73660786578,40813.6830393289,0.115,0.3260500000000001,46.0,2956.00927734375,2025-12-22T01:27:48.494858Z
3500,2,8162.73660786578,40813.6830393289,0.4325,0.4521500000000001,173.0,2956.00927734375,2025-12-22T01:27:49.195083Z
3750,2,8162.73660786578,40813.6830393289,0.67,0.5704,268.0,2956.00927734375,2025-12-22T01:27:49.837929Z
4000,2,8162.73660786578,40813.6830393289,0.8275,0.5986250000000001,331.0,2956.00927734375,2025-12-22T01:27:50.473880Z
4250,2,8162.73660786578,40813.6830393289,0.885,0.588725,354.0,3564.20263671875,2025-12-22T01:27:52.775189Z
4500,2,8162.73660786578,40813.6830393289,0.91,0.602025,364.0,3564.20263671875,2025-12-22T01:27:53.418337Z
4750,2,8162.73660786578,40813.6830393289,0.9725,0.5841500000000001,389.0,3564.20263671875,2025-12-22T01:27:54.055743Z
5000,3,8366.420183974085,41832.10091987043,0.3325,0.6122500000000001,133.0,3564.20263671875,2025-12-22T01:27:54.717315Z
5250,3,8366.420183974085,41832.10091987043,0.46,0.641175,184.0,3564.20263671875,2025-12-22T01:27:55.379571Z
5500,3,8366.420183974085,41832.10091987043,0.6125,0.5847000000000001,245.0,3564.20263671875,2025-12-22T01:27:56.030640Z
5750,3,8366.420183974085,41832.10091987043,0.7425,0.4635,297.0,3564.20263671875,2025-12-22T01:27:56.686656Z
6000,3,8366.420183974085,41832.10091987043,0.825,0.5250250000000001,330.0,3564.20263671875,2025-12-22T01:27:57.330646Z
6250,3,8366.420183974085,41832.10091987043,0.8725,0.562725,349.0,4238.22216796875,2025-12-22T01:27:59.672469Z
6500,4,8578.838654759253,42894.19327379626,0.2425,0.5031750000000001,97.0,4238.22216796875,2025-12-22T01:28:00.317546Z
6750,4,8578.838654759253,42894.19327379626,0.5025,0.5124500000000001,201.0,4238.22216796875,2025-12-22T01:28:00.965636Z
7000,4,8578.838654759253,42894.19327379626,0.625,0.5680000000000001,250.0,4238.22216796875,2025-12-22T01:28:01.625982Z
7250,4,8578.838654759253,42894.19327379626,0.7525,0.5310000000000001,301.0,4238.22216796875,2025-12-22T01:28:02.260217Z
7500,4,8578.838654759253,42894.19327379626,0.8225,0.5119,329.0,4238.22216796875,2025-12-22T01:28:02.904449Z
7750,4,8578.838654759253,42894.19327379626,0.8925,0.4940250000000001,357.0,4238.22216796875,2025-12-22T01:28:03.567197Z
8000,5,8683.174076836487,43415.87038418243,0.935,0.5847500000000001,374.0,4238.22216796875,2025-12-22T01:28:04.213878Z
8250,5,8683.174076836487,43415.87038418243,0.3725,0.500225,149.0,3813.974853515625,2025-12-22T01:28:06.560557Z
8500,5,8683.174076836487,43415.87038418243,0.6075,0.6085,243.0,3813.974853515625,2025-12-22T01:28:07.188783Z
8750,5,8683.174076836487,43415.87038418243,0.7125,0.7312750000000001,285.0,3813.974853515625,2025-12-22T01:28:07.831633Z
9000,5,8683.174076836487,43415.87038418243,0.72,0.6367,288.0,3813.974853515625,2025-12-22T01:28:08.479169Z
9250,5,8683.174076836487,43415.87038418243,0.7325,0.6275000000000001,293.0,3813.974853515625,2025-12-22T01:28:09.181193Z
9500,5,8683.174076836487,43415.87038418243,0.81,0.5752250000000001,324.0,3813.974853515625,2025-12-22T01:28:09.871829Z
9750,6,8559.708786536881,42798.543932684406,0.295,0.594175,118.0,3813.974853515625,2025-12-22T01:28:10.533628Z
10000,6,8559.708786536881,42798.543932684406,0.48,0.5772750000000001,192.0,3813.974853515625,2025-12-22T01:28:11.309143Z
10250,6,8559.708786536881,42798.543932684406,0.6775,0.3796000000000001,271.0,3215.794921875,2025-12-22T01:28:13.542310Z
10500,6,8559.708786536881,42798.543932684406,0.775,0.56305,310.0,3215.794921875,2025-12-22T01:28:14.190765Z
10750,6,8559.708786536881,42798.543932684406,0.8125,0.652,325.0,3215.794921875,2025-12-22T01:28:14.842910Z
11000,6,8559.708786536881,42798.543932684406,0.85,0.4975750000000001,340.0,3215.794921875,2025-12-22T01:28:15.500861Z
11250,7,8591.998129706513,42959.99064853256,0.1175,0.2310000000000001,47.0,3215.794921875,2025-12-22T01:28:16.147801Z
11500,7,8591.998129706513,42959.99064853256,0.4925,0.5143250000000001,197.0,3215.794921875,2025-12-22T01:28:16.797541Z
11750,7,8591.998129706513,42959.99064853256,0.6425,0.61775,257.0,3215.794921875,2025-12-22T01:28:17.466435Z
12000,7,8591.998129706513,42959.99064853256,0.675,0.570575,270.0,3215.794921875,2025-12-22T01:28:18.104922Z
12250,7,8591.998129706513,42959.99064853256,0.74,0.50215,296.0,3215.794921875,2025-12-22T01:28:18.925074Z
12500,7,8591.998129706513,42959.99064853256,0.795,0.4883250000000001,318.0,3276.067138671875,2025-12-22T01:28:21.187905Z
12750,7,8591.998129706513,42959.99064853256,0.8375,0.6159250000000001,335.0,3276.067138671875,2025-12-22T01:28:21.830518Z
13000,8,8647.400954666737,43237.00477333368,0.2325,0.591075,93.0,3276.067138671875,2025-12-22T01:28:22.487834Z
13250,8,8647.400954666737,43237.00477333368,0.535,0.5747250000000002,214.0,3276.067138671875,2025-12-22T01:28:23.134038Z
13500,8,8647.400954666737,43237.00477333368,0.7325,0.5524000000000001,293.0,3276.067138671875,2025-12-22T01:28:23.854285Z
13750,8,8647.400954666737,43237.00477333368,0.83,0.616475,332.0,3276.067138671875,2025-12-22T01:28:24.590630Z
14000,8,8647.400954666737,43237.00477333368,0.875,0.6010000000000001,350.0,3276.067138671875,2025-12-22T01:28:25.265808Z
14250,8,8647.400954666737,43237.00477333368,0.9175,0.6008750000000002,367.0,3276.067138671875,2025-12-22T01:28:26.071211Z
14500,9,8658.587195149015,43292.93597574507,0.215,0.5342250000000002,86.0,3830.117919921875,2025-12-22T01:28:28.417331Z
14750,9,8658.587195149015,43292.93597574507,0.4975,0.5450250000000001,199.0,3830.117919921875,2025-12-22T01:28:29.086115Z
15000,9,8658.587195149015,43292.93597574507,0.69,0.4754750000000001,276.0,3830.117919921875,2025-12-22T01:28:29.734655Z
15250,9,8658.587195149015,43292.93597574507,0.8225,0.5088750000000001,329.0,3830.117919921875,2025-12-22T01:28:30.392889Z
15500,9,8658.587195149015,43292.93597574507,0.91,0.5537250000000001,364.0,3830.117919921875,2025-12-22T01:28:31.043826Z
15750,9,8658.587195149015,43292.93597574507,0.93,0.6296,372.0,3830.117919921875,2025-12-22T01:28:31.682689Z
16000,10,8734.262922853242,43671.314614266215,0.945,0.5817500000000001,378.0,3830.117919921875,2025-12-22T01:28:32.339235Z
16250,10,8734.262922853242,43671.314614266215,0.34,0.6095250000000001,136.0,3830.117919921875,2025-12-22T01:28:32.988048Z
16500,10,8734.262922853242,43671.314614266215,0.6525,0.5378000000000001,261.0,4064.517822265625,2025-12-22T01:28:35.374360Z
16750,10,8734.262922853242,43671.314614266215,0.745,0.5084750000000001,298.0,4064.517822265625,2025-12-22T01:28:36.018415Z
17000,10,8734.262922853242,43671.314614266215,0.8225,0.5495000000000001,329.0,4064.517822265625,2025-12-22T01:28:36.660321Z
17250,10,8734.262922853242,43671.314614266215,0.915,0.4955000000000001,366.0,4064.517822265625,2025-12-22T01:28:37.303384Z
17500,10,8734.262922853242,43671.314614266215,0.935,0.520575,374.0,4064.517822265625,2025-12-22T01:28:37.959508Z
17750,11,8853.764992226881,44268.82496113441,0.275,0.5097,110.0,4064.517822265625,2025-12-22T01:28:38.626766Z
18000,11,8853.764992226881,44268.82496113441,0.505,0.56145,202.0,4064.517822265625,2025-12-22T01:28:39.271974Z
18250,11,8853.764992226881,44268.82496113441,0.6575,0.514225,263.0,4064.517822265625,2025-12-22T01:28:40.072518Z
18500,11,8853.764992226881,44268.82496113441,0.78,0.5603000000000001,312.0,3272.394287109375,2025-12-22T01:28:42.349652Z
18750,11,8853.764992226881,44268.82496113441,0.8625,0.5186750000000001,345.0,3272.394287109375,2025-12-22T01:28:42.998706Z
19000,11,8853.764992226881,44268.82496113441,0.925,0.4527250000000001,370.0,3272.394287109375,2025-12-22T01:28:43.641681Z
19250,12,8974.435246918152,44872.17623459076,0.1275,0.27300000000000013,51.0,3272.394287109375,2025-12-22T01:28:44.267463Z
19500,12,8974.435246918152,44872.17623459076,0.4825,0.5807,193.0,3272.394287109375,2025-12-22T01:28:44.953768Z
19750,12,8974.435246918152,44872.17623459076,0.7075,0.5305750000000001,283.0,3272.394287109375,2025-12-22T01:28:45.616540Z
20000,12,8974.435246918152,44872.17623459076,0.83,0.53685,332.0,3272.394287109375,2025-12-22T01:28:46.276052Z
20250,12,8974.435246918152,44872.17623459076,0.9,0.5965500000000001,360.0,3272.394287109375,2025-12-22T01:28:47.071768Z
20500,12,8974.435246918152,44872.17623459076,0.935,0.5158750000000001,374.0,4255.6865234375,2025-12-22T01:28:49.355086Z
20750,12,8974.435246918152,44872.17623459076,0.945,0.5765250000000001,378.0,4255.6865234375,2025-12-22T01:28:50.014828Z
21000,13,9095.096870880236,45475.48435440118,0.4075,0.39422500000000005,163.0,4255.6865234375,2025-12-22T01:28:50.663367Z
21250,13,9095.096870880236,45475.48435440118,0.7125,0.43267500000000003,285.0,4255.6865234375,2025-12-22T01:28:51.309558Z
21500,13,9095.096870880236,45475.48435440118,0.8375,0.532675,335.0,4255.6865234375,2025-12-22T01:28:51.949740Z
21750,13,9095.096870880236,45475.48435440118,0.9175,0.4822250000000002,367.0,4255.6865234375,2025-12-22T01:28:52.606776Z
22000,13,9095.096870880236,45475.48435440118,0.945,0.5429,378.0,4255.6865234375,2025-12-22T01:28:53.246952Z
22250,13,9095.096870880236,45475.48435440118,0.95,0.5631,380.0,4255.6865234375,2025-12-22T01:28:54.031657Z
22500,14,9137.042426873371,45685.212134366855,0.2225,0.5126000000000002,89.0,4255.6865234375,2025-12-22T01:28:54.686683Z
22750,14,9137.042426873371,45685.212134366855,0.5625,0.5027750000000001,225.0,3579.68798828125,2025-12-22T01:28:56.948105Z
23000,14,9137.042426873371,45685.212134366855,0.82,0.5619500000000001,328.0,3579.68798828125,2025-12-22T01:28:57.637459Z
23250,14,9137.042426873371,45685.212134366855,0.885,0.5128,354.0,3579.68798828125,2025-12-22T01:28:58.284211Z
23500,14,9137.042426873371,45685.212134366855,0.9375,0.41925000000000007,375.0,3579.68798828125,2025-12-22T01:28:58.948815Z
23750,14,9137.042426873371,45685.212134366855,0.975,0.5280750000000001,390.0,3579.68798828125,2025-12-22T01:28:59.589845Z
24000,15,9186.16376352608,45930.818817630396,0.98,0.6711250000000001,392.0,3579.68798828125,2025-12-22T01:29:00.227421Z
24250,15,9186.16376352608,45930.818817630396,0.3675,0.564675,147.0,3579.68798828125,2025-12-22T01:29:01.046387Z
24500,15,9186.16376352608,45930.818817630396,0.4925,0.6156,197.0,3579.68798828125,2025-12-22T01:29:01.693356Z
24750,15,9186.16376352608,45930.818817630396,0.61,0.5045750000000001,244.0,3759.2099609375,2025-12-22T01:29:03.904799Z
25000,15,9186.16376352608,45930.818817630396,0.8125,0.5668000000000001,325.0,3759.2099609375,2025-12-22T01:29:04.565482Z
25250,15,9186.16376352608,45930.818817630396,0.905,0.5466000000000001,362.0,3759.2099609375,2025-12-22T01:29:05.220359Z
25500,15,9186.16376352608,45930.818817630396,0.9325,0.6377,373.0,3759.2099609375,2025-12-22T01:29:05.881760Z
25750,16,9289.693004328505,46448.46502164252,0.25,0.6528500000000002,100.0,3759.2099609375,2025-12-22T01:29:06.531012Z
26000,16,9289.693004328505,46448.46502164252,0.56,0.49360000000000004,224.0,3759.2099609375,2025-12-22T01:29:07.183583Z
26250,16,9289.693004328505,46448.46502164252,0.735,0.4791000000000001,294.0,3759.2099609375,2025-12-22T01:29:07.850610Z
26500,16,9289.693004328505,46448.46502164252,0.8675,0.5223500000000001,347.0,3759.2099609375,2025-12-22T01:29:08.643943Z
26750,16,9289.693004328505,46448.46502164252,0.945,0.48930000000000007,378.0,3668.672607421875,2025-12-22T01:29:10.942712Z
27000,16,9289.693004328505,46448.46502164252,0.965,0.49252500000000005,386.0,3668.672607421875,2025-12-22T01:29:11.629770Z
27250,17,9378.817169655838,46894.085848279195,0.125,0.2704750000000001,50.0,3668.672607421875,2025-12-22T01:29:12.303787Z
27500,17,9378.817169655838,46894.085848279195,0.5475,0.4421500000000001,219.0,3668.672607421875,2025-12-22T01:29:12.937782Z
27750,17,9378.817169655838,46894.085848279195,0.76,0.7084250000000002,304.0,3668.672607421875,2025-12-22T01:29:13.591375Z
28000,17,9378.817169655838,46894.085848279195,0.855,0.5604750000000001,342.0,3668.672607421875,2025-12-22T01:29:14.236399Z
28250,17,9378.817169655838,46894.085848279195,0.9075,0.544475,363.0,3668.672607421875,2025-12-22T01:29:14.912965Z
28500,17,9378.817169655838,46894.085848279195,0.9225,0.58545,369.0,3668.672607421875,2025-12-22T01:29:15.747916Z
28750,17,9378.817169655838,46894.085848279195,0.94,0.4511500000000001,376.0,3466.742431640625,2025-12-22T01:29:18.038274Z
29000,18,9476.218031787852,47381.09015893926,0.395,0.56205,158.0,3466.742431640625,2025-12-22T01:29:18.714354Z
