timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,exploration_score,loss,timestamp
250,0,0.0,0.0,0.2475,0.693275,99.0,,2025-12-22T01:22:35.604908Z
500,0,0.0,0.0,0.37,0.7737750000000001,148.0,,2025-12-22T01:22:36.172918Z
750,0,0.0,0.0,0.5075,0.7330000000000001,203.0,,2025-12-22T01:22:36.745425Z
1000,0,0.0,0.0,0.565,0.80125,226.0,,2025-12-22T01:22:37.366830Z
1250,0,0.0,0.0,0.6075,0.75735,243.0,,2025-12-22T01:22:38.090256Z
1500,0,0.0,0.0,0.66,0.7149500000000001,264.0,,2025-12-22T01:22:38.649036Z
1750,1,9571.49820056511,28714.494601695333,0.1375,0.7431500000000001,55.0,,2025-12-22T01:22:39.216243Z
2000,1,9571.49820056511,28714.494601695333,0.305,0.687675,122.0,,2025-12-22T01:22:39.790091Z
2250,1,9571.49820056511,28714.494601695333,0.51,0.7044250000000001,204.0,4575.93359375,2025-12-22T01:22:41.622878Z
2500,1,9571.49820056511,28714.494601695333,0.655,0.7080000000000001,262.0,4575.93359375,2025-12-22T01:22:42.175731Z
2750,1,9571.49820056511,28714.494601695333,0.7475,0.7284750000000001,299.0,4575.93359375,2025-12-22T01:22:42.768620Z
3000,1,9571.49820056511,28714.494601695333,0.7725,0.7094750000000001,309.0,4575.93359375,2025-12-22T01:22:43.323498Z
3250,2,10339.476718747988,31018.430156243965,0.065,0.38622500000000015,26.0,4575.93359375,2025-12-22T01:22:44.031320Z
3500,2,10339.476718747988,31018.430156243965,0.32,0.6970750000000001,128.0,4575.93359375,2025-12-22T01:22:44.625185Z
3750,2,10339.476718747988,31018.430156243965,0.49,0.6911,196.0,4575.93359375,2025-12-22T01:22:45.197122Z
4000,2,10339.476718747988,31018.430156243965,0.6575,0.810775,263.0,4575.93359375,2025-12-22T01:22:45.751319Z
4250,2,10339.476718747988,31018.430156243965,0.71,0.7131000000000001,284.0,5409.6943359375,2025-12-22T01:22:47.573805Z
4500,2,10339.476718747988,31018.430156243965,0.765,0.6314500000000001,306.0,5409.6943359375,2025-12-22T01:22:48.136468Z
4750,2,10339.476718747988,31018.430156243965,0.7975,0.6147750000000001,319.0,5409.6943359375,2025-12-22T01:22:48.703750Z
5000,3,10609.0205071539,31827.0615214617,0.2,0.6909000000000001,80.0,5409.6943359375,2025-12-22T01:22:49.268681Z
5250,3,10609.0205071539,31827.0615214617,0.42,0.6527250000000001,168.0,5409.6943359375,2025-12-22T01:22:49.971658Z
5500,3,10609.0205071539,31827.0615214617,0.5075,0.6636500000000001,203.0,5409.6943359375,2025-12-22T01:22:50.527449Z
5750,3,10609.0205071539,31827.0615214617,0.66,0.7102250000000001,264.0,5409.6943359375,2025-12-22T01:22:51.067218Z
6000,3,10609.0205071539,31827.0615214617,0.715,0.6481,286.0,5409.6943359375,2025-12-22T01:22:51.623936Z
6250,3,10609.0205071539,31827.0615214617,0.75,0.6873500000000001,300.0,6815.6513671875,2025-12-22T01:22:53.441520Z
6500,4,10986.751415454666,32960.254246364,0.1175,0.712775,47.0,6815.6513671875,2025-12-22T01:22:54.022716Z
6750,4,10986.751415454666,32960.254246364,0.3625,0.73985,145.0,6815.6513671875,2025-12-22T01:22:54.587307Z
