method,mean_reward,std_reward,mean_coverage,std_coverage
PPO,3974.891482750011,1618.7259643860991,0.081,0.019209372712298542
Spiral,3413.8544751666823,1536.1026794031334,0.21825,0.1495578901295415
Zigzag,4374.248737166658,2898.4630645459365,0.2465,0.11663618649458665
