timestep,mean_reward,coverage_ratio,average_threat_level
13250,50574.839307500406,0.25,0.0
13500,50770.605974167636,0.25,0.0
13750,51670.60597416727,0.25,0.0
14000,52570.60597416691,0.25,0.0
14250,53805.8065525002,0.36,0.0
14500,55269.83988583353,0.6,0.0
14750,55619.83988583389,0.6,0.0
15000,57036.37321916694,0.6,0.0
15250,57333.404737500045,0.1825,0.0
15500,57358.40473749968,0.1825,0.0
15750,57616.37140416621,0.1825,0.0
16000,58466.37140416657,0.1825,0.0
16250,59832.93989833324,0.375,0.0
16500,61292.75656500002,0.3825,0.0
16750,63767.85656499994,0.3825,0.0
17000,66551.18989833278,0.3825,0.0
17250,66826.32081583362,0.145,0.0
17500,67559.48748249926,0.145,0.0
17750,68409.4874824978,0.145,0.0
18000,69259.48748249635,0.145,0.0
18250,69784.18564749662,0.22,0.0
18500,70105.3523141641,0.22,0.0
18750,71005.35231416556,0.22,0.0
19000,72359.4189808321,0.22,0.0
19250,72594.7838324998,0.1525,0.0
19500,73096.95049916625,0.1525,0.0
19750,73946.9504991648,0.1525,0.0
20000,74796.95049916334,0.1525,0.0
20250,75419.86527832938,0.1075,0.0
20500,76974.73194499528,0.1075,0.0
20750,78649.73194499455,0.1075,0.0
21000,80324.73194499382,0.1075,0.0
21250,80742.01345082752,0.21,0.0
21500,81419.58011749532,0.21,0.0
21750,82319.58011749678,0.21,0.0
22000,83219.58011749823,0.21,0.0
22250,83701.38898916532,0.18,0.0
22500,83776.38898916605,0.18,0.0
22750,83968.85565583342,0.18,0.0
23000,85329.52232249994,0.18,0.0
23250,85675.35382833183,0.14,0.0
23500,87194.32049499804,0.14,0.0
23750,89910.08716166519,0.14,0.0
24000,93288.72049499956,0.14,0.0
24250,93658.90199833293,0.1125,0.0
24500,94049.4686649997,0.1125,0.0
24750,95124.46866500043,0.1125,0.0
25000,96825.13533166825,0.1125,0.0
25250,97164.01683000209,0.13,0.0
25500,97364.01683000282,0.13,0.0
25750,97564.01683000354,0.13,0.0
26000,97764.01683000427,0.13,0.0
26250,98920.94966083765,0.3425,0.0
26500,100362.2352641712,0.5825,0.0
26750,101051.93526417129,0.5825,0.0
27000,103386.36859750438,0.5825,0.0
27250,103419.88344916973,0.08,0.0
27500,103394.88344916828,0.08,0.0
27750,103369.88344916682,0.08,0.0
28000,103344.88344916537,0.08,0.0
28250,104556.49125833208,0.3325,0.0
28500,104872.35792499942,0.36,0.0
28750,104947.35792500015,0.36,0.0
29000,105022.35792500088,0.36,0.0
29250,105691.00609750117,0.225,0.0
29500,106032.67276416832,0.225,0.0
29750,106808.6060975025,0.225,0.0
30000,107975.27276417038,0.225,0.0
30250,108062.91764667083,0.0825,0.0
30500,108092.08431333798,0.0825,0.0
30750,109019.4843133374,0.0825,0.0
31000,110698.65098000236,0.0825,0.0
31250,110979.56581666804,0.165,0.0
31500,111586.99915000028,0.165,0.0
31750,112403.66581666598,0.165,0.0
32000,113220.33248333167,0.165,0.0
32250,114335.11525916526,0.3275,0.0
32500,114855.56651083146,0.445,0.0
32750,114922.23317749715,0.445,0.0
33000,114988.89984416285,0.445,0.0
33250,115214.3313649951,0.1075,0.0
33500,116014.33136499437,0.1075,0.0
33750,116814.33136499365,0.1075,0.0
34000,118753.4646983273,0.1075,0.0
34250,118805.77712665939,0.0925,0.0
34500,118780.77712665794,0.0925,0.0
34750,118755.77712665648,0.0925,0.0
35000,118730.77712665503,0.0925,0.0
35250,119219.14195832083,0.115,0.0
35500,120288.40862498707,0.115,0.0
35750,121913.40862498707,0.115,0.0
36000,123538.40862498707,0.115,0.0
36250,124265.397096654,0.2575,0.0
36500,124340.39709665472,0.2575,0.0
36750,124415.39709665545,0.2575,0.0
37000,125322.63042998877,0.2575,0.0
37250,126323.92859248987,0.085,0.0
37500,127411.42859249133,0.085,0.0
37750,128540.49525915932,0.085,0.0
38000,130452.99525915786,0.085,0.0
38250,130728.27676749036,0.1075,0.0
38500,130919.94343415606,0.1075,0.0
38750,131111.61010082177,0.1075,0.0
39000,131681.44343415595,0.1075,0.0
39250,132814.73213915588,0.33,0.0
39500,133108.2154724903,0.385,0.0
39750,134470.34880582578,0.385,0.0
40000,136145.3488058287,0.385,0.0
40250,136363.74698082652,0.11,0.0
40500,136530.41364749076,0.11,0.0
40750,136697.080314155,0.11,0.0
41000,136863.74698081924,0.11,0.0
41250,137271.69242165223,0.185,0.0
41500,137338.35908831793,0.185,0.0
41750,137405.02575498362,0.185,0.0
42000,137471.69242164932,0.185,0.0
42250,137836.4552258164,0.1475,0.0
42500,138718.38855914798,0.1475,0.0
42750,139760.05522581222,0.1475,0.0
43000,141387.78855914625,0.1475,0.0
43250,141539.72005747794,0.1825,0.0
43500,141456.38672414218,0.1825,0.0
43750,141373.05339080642,0.1825,0.0
44000,141289.72005747067,0.1825,0.0
44250,142456.17198497057,0.34,0.0
44500,142974.46444996947,0.41,0.0
44750,143874.46444997092,0.41,0.0
45000,144774.46444997238,0.41,0.0
45250,145993.37929663967,0.385,0.0
45500,147471.29596330645,0.6575,0.0
45750,147551.67929663698,0.6575,0.0
46000,148387.6459633048,0.6575,0.0
46250,149478.72134080474,0.34,0.0
46500,149453.72134080328,0.34,0.0
46750,149428.72134080183,0.34,0.0
47000,149403.72134080037,0.34,0.0
47250,149443.66951579915,0.0875,0.0
47500,149546.03618246506,0.0875,0.0
47750,150346.03618246797,0.0875,0.0
48000,151146.03618247088,0.0875,0.0
48250,151466.8561749714,0.09,0.0
48500,152406.67659163667,0.09,0.0
48750,153805.68850663566,0.09,0.0
49000,155270.6652774681,0.09,0.0
49250,155260.0634499708,0.095,0.0
49500,155185.0634499737,0.095,0.0
49750,155110.06344997662,0.095,0.0
50000,155779.5301166435,0.095,0.0
50250,156727.3616224784,0.1325,0.0
50500,157719.028289147,0.1325,0.0
50750,159539.628289149,0.1325,0.0
51000,162830.06162248336,0.1325,0.0
51250,164106.92066081657,0.325,0.0
51500,165090.30399415115,0.36,0.0
51750,165990.3039941526,0.36,0.0
52000,166890.30399415406,0.36,0.0
52250,167728.8907408203,0.2775,0.0
52500,167803.89074081738,0.2775,0.0
52750,167878.89074081447,0.2775,0.0
53000,168599.35740748167,0.2775,0.0
53250,169263.19350748102,0.28,0.0
53500,170023.26017414842,0.28,0.0
53750,170923.26017414988,0.28,0.0
54000,171823.26017415134,0.28,0.0
54250,171823.5560499833,0.0475,0.0
54500,171798.55604998185,0.0475,0.0
54750,171773.5560499804,0.0475,0.0
55000,171748.55604997894,0.0475,0.0
55250,173582.09071164465,0.1375,0.0
55500,176297.07800330807,0.1375,0.0
55750,179012.0652949715,0.1375,0.0
56000,181727.0525866349,0.1375,0.0
56250,182687.98408996785,0.3425,0.0
56500,182762.98408996494,0.3425,0.0
56750,182837.98408996203,0.3425,0.0
57000,182912.98408995912,0.3425,0.0
57250,182990.31114495793,0.1025,0.0
57500,182965.31114495647,0.1025,0.0
57750,182940.31114495502,0.1025,0.0
58000,182915.31114495356,0.1025,0.0
58250,183886.75098328723,0.345,0.0
58500,185357.20033828737,0.5775,0.0
58750,185456.3503382846,0.5825,0.0
59000,185531.35033828169,0.5825,0.0
59250,186371.07940161467,0.2925,0.0
59500,186446.07940161176,0.2925,0.0
59750,186787.04606827695,0.2925,0.0
60000,187817.71273494454,0.2925,0.0
60250,187877.34425577655,0.105,0.0
60500,187852.3442557751,0.105,0.0
60750,187827.34425577364,0.105,0.0
61000,187802.3442557722,0.105,0.0
61250,188417.82319243788,0.245,0.0
61500,188633.3898591024,0.245,0.0
61750,189581.55652577028,0.245,0.0
62000,191730.92319243777,0.245,0.0
62250,192328.16181327056,0.1125,0.0
62500,193178.1618132691,0.1125,0.0
62750,194028.16181326765,0.1125,0.0
63000,195424.62847993578,0.1125,0.0
63250,196552.15534326874,0.3775,0.0
63500,196669.33867660398,0.38,0.0
63750,196786.00534327258,0.38,0.0
64000,196902.6720099412,0.38,0.0
64250,196981.33683660667,0.1025,0.0
64500,196956.33683660522,0.1025,0.0
64750,196931.33683660376,0.1025,0.0
65000,196906.3368366023,0.1025,0.0
65250,197655.86830493415,0.135,0.0
65500,198572.5349715984,0.135,0.0
65750,200088.4683049325,0.135,0.0
66000,201830.1349716011,0.135,0.0
66250,202087.3498032696,0.0375,0.0
66500,202329.01646993821,0.0375,0.0
66750,202570.68313660682,0.0375,0.0
67000,202812.34980327543,0.0375,0.0
67250,204312.61465744197,0.365,0.0
67500,205148.18660077456,0.455,0.0
67750,205498.1866007731,0.455,0.0
68000,207294.85326743976,0.455,0.0
68250,207993.31809660577,0.1775,0.0
68500,210585.08476327502,0.1775,0.0
68750,213260.08476327793,0.1775,0.0
69000,216646.55142994493,0.1775,0.0
69250,217281.26628411197,0.1975,0.0
69500,217622.93295077913,0.1975,0.0
69750,218239.73295077888,0.1975,0.0
70000,220224.19961744742,0.1975,0.0
70250,220300.9477674478,0.1175,0.0
70500,220267.61443411495,0.1175,0.0
70750,220234.2811007821,0.1175,0.0
71000,220200.94776744925,0.1175,0.0
71250,221269.02922328052,0.195,0.0
71500,222639.69588994587,0.195,0.0
71750,224539.69588994732,0.195,0.0
72000,226439.69588994878,0.195,0.0
72250,226414.2107166181,0.08,0.0
72500,226339.21071662102,0.08,0.0
72750,226264.21071662393,0.08,0.0
73000,226189.21071662684,0.08,0.0
73250,227432.80889912706,0.3125,0.0
73500,228771.14223246303,0.3125,0.0
73750,230802.47556579672,0.3125,0.0
74000,233594.14223246096,0.3125,0.0
74250,233986.54039995902,0.12,0.0
74500,234278.20706662326,0.12,0.0
74750,234657.64039995466,0.12,0.0
75000,236218.4737332883,0.12,0.0
75250,236679.23524412356,0.1375,0.0
75500,236979.23524412647,0.1375,0.0
75750,237279.23524412938,0.1375,0.0
76000,237579.2352441323,0.1375,0.0
76250,237969.6667399651,0.205,0.0
76500,238036.3334066308,0.205,0.0
76750,238103.00007329648,0.205,0.0
77000,238169.66673996218,0.205,0.0
77250,238593.91491496304,0.0875,0.0
77500,238964.74824829734,0.0875,0.0
77750,240053.64824829588,0.0875,0.0
78000,241249.48158162727,0.0875,0.0
78250,241338.4964357927,0.1375,0.0
78500,241313.49643579125,0.1375,0.0
78750,241288.4964357898,0.1375,0.0
79000,241263.49643578834,0.1375,0.0
79250,241911.5847291206,0.2025,0.0
79500,241986.5847291177,0.2025,0.0
79750,242061.58472911478,0.2025,0.0
80000,242136.58472911187,0.2025,0.0
80250,242288.29958078015,0.1625,0.0
80500,243628.96624744442,0.1625,0.0
80750,245237.29958077436,0.1625,0.0
81000,246845.6329141043,0.1625,0.0
81250,248031.65337743761,0.3125,0.0
81500,249717.6781741029,0.3125,0.0
81750,251556.84484076875,0.3125,0.0
82000,254106.84484077166,0.3125,0.0
82250,254437.04298577236,0.21,0.0
82500,255727.90965243994,0.21,0.0
82750,257402.90965244285,0.21,0.0
83000,259077.90965244576,0.21,0.0
83250,259399.48654994537,0.15,0.0
83500,259557.81988327822,0.15,0.0
83750,259716.15321661107,0.15,0.0
84000,259874.48654994392,0.15,0.0
84250,260787.6267816106,0.3025,0.0
84500,262849.8601149455,0.3025,0.0
84750,265399.8601149484,0.3025,0.0
85000,267949.8601149513,0.3025,0.0
85250,268673.80829995,0.255,0.0
85500,269573.80829994415,0.255,0.0
85750,271056.57496661315,0.255,0.0
86000,272781.57496661897,0.255,0.0
86250,272903.27311412373,0.1525,0.0
86500,272878.27311412955,0.1525,0.0
86750,272853.2731141354,0.1525,0.0
87000,272828.2731141412,0.1525,0.0
87250,273521.937955807,0.3,0.0
87500,275170.77128914546,0.3,0.0
87750,277475.2379558156,0.3,0.0
88000,280025.23795581853,0.3,0.0
88250,280304.5361308145,0.225,0.0
88500,280329.5361308087,0.225,0.0
88750,280354.5361308029,0.225,0.0
89000,280379.53613079706,0.225,0.0
89250,280450.29681663524,0.1025,0.0
89500,280425.29681664106,0.1025,0.0
89750,280400.2968166469,0.1025,0.0
90000,280664.36348331807,0.1025,0.0
90250,281947.195001651,0.3575,0.0
90500,282386.07833498955,0.3575,0.0
90750,284307.511668323,0.3575,0.0
91000,287502.7450016551,0.3575,0.0
91250,287825.0265074835,0.115,0.0
91500,288041.6931741434,0.115,0.0
91750,288258.35984080326,0.115,0.0
92000,288475.02650746313,0.115,0.0
92250,288688.5580057921,0.1925,0.0
92500,288713.55800578627,0.1925,0.0
92750,288738.55800578045,0.1925,0.0
93000,288763.5580057746,0.1925,0.0
93250,289007.8228199457,0.135,0.0
93500,289174.4894866172,0.135,0.0
93750,289836.78948662017,0.135,0.0
94000,292308.82281995035,0.135,0.0
94250,293587.3810474506,0.3325,0.0
94500,294612.5477141204,0.3325,0.0
94750,295787.5477141233,0.3325,0.0
95000,296962.54771412624,0.3325,0.0
95250,297090.29587413045,0.1175,0.0
95500,297065.29587413627,0.1175,0.0
95750,297040.2958741421,0.1175,0.0
96000,297015.2958741479,0.1175,0.0
96250,298282.54404914775,0.3675,0.0
96500,298619.2381299788,0.395,0.0
96750,298694.2381299759,0.395,0.0
97000,299035.2047966392,0.395,0.0
97250,299322.76960080233,0.205,0.0
97500,299347.7696007965,0.205,0.0
97750,299372.7696007907,0.205,0.0
98000,299397.7696007849,0.205,0.0
98250,300374.86529911956,0.275,0.0
98500,300724.8652991254,0.275,0.0
98750,301578.4319657958,0.275,0.0
99000,302753.4319657987,0.275,0.0
99250,303772.84890329954,0.32,0.0
99500,303997.84890330536,0.32,0.0
99750,304222.8489033112,0.32,0.0
100000,304898.6155699818,0.32,0.0
