timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,visited_cells,loss,timestamp
250,1,-5.595666666666668,-27.97833333333334,0.615,0.5649000000000001,246,0.0,2025-12-24T00:04:40.440432Z
500,1,-2.7675,-13.837500000000002,0.86,0.7347500000000001,344,0.0,2025-12-24T00:04:40.724434Z
750,1,-9.228,-46.14,0.86,0.8068000000000001,344,0.0,2025-12-24T00:04:41.008613Z
1000,1,-11.49,-57.45,0.86,1.0,344,0.0,2025-12-24T00:04:41.287447Z
1250,2,13.79225,68.96125,0.98,0.20977500000000002,392,0.0,2025-12-24T00:04:41.411151Z
1500,2,15.3595,76.7975,0.98,0.10505,392,0.0,2025-12-24T00:04:41.524547Z
1750,2,7.230000000000002,36.15000000000001,0.98,0.4550000000000001,392,0.0,2025-12-24T00:04:41.650815Z
2000,2,-8.461250000000001,-42.306250000000006,0.98,0.7151250000000001,392,0.0,2025-12-24T00:04:41.796807Z
2250,3,7.54983333333333,37.74916666666665,0.98,0.25035000000000013,392,0.0,2025-12-24T00:04:41.924172Z
2500,3,-6.406250000000002,-32.03125000000001,0.98,0.5526250000000001,392,0.0,2025-12-24T00:04:42.072984Z
2750,3,-10.301000000000002,-51.50500000000001,0.98,0.8811000000000001,392,0.0,2025-12-24T00:04:42.266122Z
3000,3,-11.49,-57.45,0.98,1.0,392,0.0,2025-12-24T00:04:42.486795Z
3250,4,0.938583333333332,4.692916666666661,0.635,0.5294750000000001,254,0.0,2025-12-24T00:04:42.625202Z
3500,4,-4.841999999999998,-24.209999999999987,0.635,0.7741999999999999,254,0.0,2025-12-24T00:04:42.790036Z
3750,4,-11.49,-57.45,0.635,1.0,254,0.0,2025-12-24T00:04:42.983834Z
4000,4,-11.49,-57.45,0.635,1.0,254,0.0,2025-12-24T00:04:43.178751Z
4250,5,-5.847166666666666,-29.235833333333332,0.61,0.52405,244,0.0,2025-12-24T00:04:43.311377Z
4500,5,-5.772250000000001,-28.861250000000013,0.61,0.7632250000000002,244,0.0,2025-12-24T00:04:43.463947Z
4750,5,-11.49,-57.45,0.61,1.0,244,0.0,2025-12-24T00:04:43.638760Z
5000,5,-11.49,-57.45,0.61,1.0,244,0.0,2025-12-24T00:04:43.815827Z
5250,6,9.792416666666654,48.962083333333275,0.98,0.13542499999999996,392,0.0,2025-12-24T00:04:43.936997Z
5500,6,0.8154999999999988,4.077499999999995,0.98,0.22545000000000004,392,0.0,2025-12-24T00:04:44.049130Z
5750,6,0.6030000000000024,3.015000000000015,0.98,0.4137000000000001,392,0.0,2025-12-24T00:04:44.163563Z
6000,6,7.684000000000012,38.42000000000006,0.98,0.5216000000000002,392,0.0,2025-12-24T00:04:44.273733Z
6250,7,1.8469166666666692,9.234583333333346,0.98,0.13297499999999998,392,0.0,2025-12-24T00:04:44.392297Z
6500,7,-1.5492499999999998,-7.74625,0.98,0.119925,392,0.0,2025-12-24T00:04:44.505158Z
6750,7,2.6795000000000035,13.397500000000017,0.98,0.22105000000000008,392,0.0,2025-12-24T00:04:44.618847Z
7000,7,-1.0287500000000036,-5.1437500000000185,0.98,0.33787500000000015,392,0.0,2025-12-24T00:04:44.730345Z
7250,8,5.4988785,27.494392499999996,0.98,0.268575,392,0.0,2025-12-24T00:04:44.860253Z
7500,8,2.0899725000000036,10.449862500000012,0.98,0.5638750000000001,392,0.0,2025-12-24T00:04:45.015375Z
7750,8,-11.005824500000003,-55.02912250000001,0.98,0.9287250000000001,392,0.0,2025-12-24T00:04:45.227073Z
8000,8,-11.72,-58.6,0.98,1.0,392,0.0,2025-12-24T00:04:45.470198Z
8250,9,-6.197750000000001,-30.988750000000003,0.625,0.5317750000000001,250,0.0,2025-12-24T00:04:45.621450Z
8500,9,-4.146000000000001,-20.730000000000004,0.625,0.7646000000000001,250,0.0,2025-12-24T00:04:45.799411Z
8750,9,-11.49,-57.45,0.625,1.0,250,0.0,2025-12-24T00:04:46.016971Z
9000,9,-11.49,-57.45,0.625,1.0,250,0.0,2025-12-24T00:04:46.237586Z
9250,10,1.6033333333333326,8.016666666666664,0.5825,0.5410000000000001,233,0.0,2025-12-24T00:04:46.464538Z
9500,10,0.719083333333332,3.5954166666666603,0.8225,0.5774250000000001,329,0.0,2025-12-24T00:04:46.690703Z
9750,10,-9.175500000000001,-45.877500000000005,0.8875,0.8025500000000001,355,0.0,2025-12-24T00:04:46.916470Z
10000,10,-11.49,-57.45,0.8875,1.0,355,0.0,2025-12-24T00:04:47.135646Z
10250,11,4.739666666666665,23.69833333333332,0.98,0.14270000000000002,392,0.0,2025-12-24T00:04:47.258701Z
10500,11,4.5022905,22.511452499999997,0.98,0.39797500000000013,392,0.0,2025-12-24T00:04:47.374994Z
10750,11,-1.0234999999999985,-5.117499999999993,0.98,0.6723500000000001,392,0.0,2025-12-24T00:04:47.513023Z
11000,11,-11.49,-57.45,0.98,1.0,392,0.0,2025-12-24T00:04:47.669555Z
11250,12,1.564083333333329,7.820416666666646,0.98,0.2519250000000001,392,0.0,2025-12-24T00:04:47.799823Z
11500,12,1.6305000000000023,8.152500000000014,0.98,0.54595,392,0.0,2025-12-24T00:04:47.931953Z
11750,12,-10.442,-52.21,0.98,0.8952,392,0.0,2025-12-24T00:04:48.093279Z
12000,12,-11.49,-57.45,0.98,1.0,392,0.0,2025-12-24T00:04:48.268773Z
12250,13,10.074426000000004,50.37213000000001,0.765,0.4287,306,0.0,2025-12-24T00:04:48.446272Z
12500,13,5.840262,29.20131,0.955,0.5369000000000002,382,0.0,2025-12-24T00:04:48.617756Z
12750,13,-0.29547900000000027,-1.4773950000000013,0.955,0.7989499999999999,382,0.0,2025-12-24T00:04:48.791153Z
13000,13,-11.72,-58.6,0.955,1.0,382,0.0,2025-12-24T00:04:48.959738Z
13250,14,8.950083333333337,44.75041666666669,0.98,0.30032500000000006,392,0.0,2025-12-24T00:04:49.093701Z
13500,14,-6.500750000000002,-32.50375000000001,0.98,0.5520750000000002,392,0.0,2025-12-24T00:04:49.228904Z
13750,14,-10.643749999999999,-53.21875,0.98,0.894375,392,0.0,2025-12-24T00:04:49.392003Z
14000,14,-11.7,-58.5,0.98,1.0,392,0.0,2025-12-24T00:04:49.569058Z
14250,15,-5.754083333333336,-28.77041666666668,0.7075,0.5640750000000002,283,0.0,2025-12-24T00:04:49.768096Z
14500,15,-7.380666666666669,-36.90333333333335,0.8525,0.7194000000000003,341,0.0,2025-12-24T00:04:49.960337Z
14750,15,-8.069500000000001,-40.34750000000001,0.8525,0.7369500000000002,341,0.0,2025-12-24T00:04:50.147713Z
15000,15,-10.7,-53.5,0.8525,1.0,341,0.0,2025-12-24T00:04:50.333674Z
15250,16,1.1834999999999996,5.9175,0.615,0.5166500000000002,246,0.0,2025-12-24T00:04:50.461208Z
15500,16,-8.197999999999999,-40.989999999999995,0.615,0.7687999999999999,246,0.0,2025-12-24T00:04:50.586564Z
15750,16,-10.7,-53.5,0.615,1.0,246,0.0,2025-12-24T00:04:50.717901Z
16000,16,-10.7,-53.5,0.615,1.0,246,0.0,2025-12-24T00:04:50.846948Z
16250,17,9.322666666666672,46.61333333333336,0.98,0.13040000000000002,392,0.0,2025-12-24T00:04:50.970800Z
16500,17,2.893999999999998,14.469999999999992,0.98,0.3616000000000001,392,0.0,2025-12-24T00:04:51.085977Z
16750,17,-0.7139999999999969,-3.569999999999986,0.98,0.6674000000000001,392,0.0,2025-12-24T00:04:51.216338Z
17000,17,-11.49,-57.45,0.98,1.0,392,0.0,2025-12-24T00:04:51.360113Z
17250,18,-3.194083333333334,-15.970416666666667,0.98,0.285075,392,0.0,2025-12-24T00:04:51.481797Z
17500,18,-6.688000000000001,-33.440000000000005,0.98,0.5708000000000001,392,0.0,2025-12-24T00:04:51.636267Z
17750,18,-10.85,-54.25,0.98,0.915,392,0.0,2025-12-24T00:04:51.836667Z
18000,18,-11.7,-58.5,0.98,1.0,392,0.0,2025-12-24T00:04:52.061521Z
18250,19,-7.1279166666666685,-35.63958333333334,0.6025,0.6801250000000002,241,0.0,2025-12-24T00:04:52.259958Z
18500,19,-10.7,-53.5,0.6025,1.0,241,0.0,2025-12-24T00:04:52.512634Z
18750,19,-10.7,-53.5,0.6025,1.0,241,0.0,2025-12-24T00:04:52.784033Z
19000,19,-10.7,-53.5,0.6025,1.0,241,0.0,2025-12-24T00:04:53.055214Z
19250,20,8.092083333333337,40.46041666666668,0.98,0.13312500000000002,392,0.0,2025-12-24T00:04:53.177091Z
19500,20,0.9542500000000005,4.771250000000002,0.98,0.3695750000000001,392,0.0,2025-12-24T00:04:53.290907Z
19750,20,-7.862000000000001,-39.31,0.98,0.6702000000000001,392,0.0,2025-12-24T00:04:53.420970Z
20000,20,-11.49,-57.45,0.98,1.0,392,0.0,2025-12-24T00:04:53.563697Z
20250,21,3.496333333333333,17.481666666666666,0.98,0.2557000000000001,392,0.0,2025-12-24T00:04:53.692619Z
20500,21,-1.0182499999999992,-5.091249999999995,0.98,0.549825,392,0.0,2025-12-24T00:04:53.834727Z
20750,21,-10.406000000000002,-52.030000000000015,0.98,0.8916000000000003,392,0.0,2025-12-24T00:04:54.013234Z
21000,21,-11.49,-57.45,0.98,1.0,392,0.0,2025-12-24T00:04:54.209483Z
21250,22,14.418750000000001,72.09375,0.6825,0.41912500000000014,273,0.0,2025-12-24T00:04:54.376534Z
21500,22,-6.261416666666667,-31.307083333333335,0.9025,0.6384750000000001,361,0.0,2025-12-24T00:04:54.536041Z
