timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,exploration_score,loss,timestamp
250,0,0.0,0.0,0.2575,0.6401,103.0,,2025-12-22T00:12:04.664465Z
500,0,0.0,0.0,0.41,0.6464500000000001,164.0,,2025-12-22T00:12:05.215228Z
750,0,0.0,0.0,0.5125,0.5996250000000001,205.0,,2025-12-22T00:12:05.821459Z
1000,0,0.0,0.0,0.6075,0.7409750000000002,243.0,,2025-12-22T00:12:06.374939Z
1250,0,0.0,0.0,0.6975,0.733775,279.0,,2025-12-22T00:12:06.961783Z
1500,0,0.0,0.0,0.73,0.7997000000000001,292.0,,2025-12-22T00:12:07.513099Z
1750,1,10895.016141368076,32685.04842410423,0.1675,0.651225,67.0,,2025-12-22T00:12:08.098710Z
2000,1,10895.016141368076,32685.04842410423,0.3525,0.7089750000000001,141.0,,2025-12-22T00:12:08.644577Z
2250,1,10895.016141368076,32685.04842410423,0.485,0.6954,194.0,6810.74609375,2025-12-22T00:12:10.584057Z
2500,1,10895.016141368076,32685.04842410423,0.625,0.7210500000000001,250.0,6810.74609375,2025-12-22T00:12:11.134561Z
2750,1,10895.016141368076,32685.04842410423,0.6675,0.676575,267.0,6810.74609375,2025-12-22T00:12:11.680504Z
3000,1,10895.016141368076,32685.04842410423,0.71,0.664475,284.0,6810.74609375,2025-12-22T00:12:12.238545Z
3250,2,10690.030552191194,32070.091656573582,0.075,0.36422500000000013,30.0,6810.74609375,2025-12-22T00:12:12.827745Z
3500,2,10690.030552191194,32070.091656573582,0.3225,0.6811250000000001,129.0,6810.74609375,2025-12-22T00:12:13.400478Z
3750,2,10690.030552191194,32070.091656573582,0.4425,0.74375,177.0,6810.74609375,2025-12-22T00:12:13.953183Z
4000,2,10690.030552191194,32070.091656573582,0.535,0.7303750000000001,214.0,6810.74609375,2025-12-22T00:12:14.501625Z
4250,2,10690.030552191194,32070.091656573582,0.6475,0.7475499999999999,259.0,5702.10400390625,2025-12-22T00:12:16.436371Z
4500,2,10690.030552191194,32070.091656573582,0.73,0.7075750000000001,292.0,5702.10400390625,2025-12-22T00:12:17.004934Z
4750,2,10690.030552191194,32070.091656573582,0.7625,0.8283000000000001,305.0,5702.10400390625,2025-12-22T00:12:17.574044Z
5000,3,10903.507333678814,32710.522001036443,0.235,0.6602000000000001,94.0,5702.10400390625,2025-12-22T00:12:18.173549Z
