timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,exploration_score,loss,timestamp
250,0,0.0,0.0,0.3675,0.5928250000000002,147.0,,2025-12-22T00:21:40.825916Z
500,0,0.0,0.0,0.5075,0.71445,203.0,,2025-12-22T00:21:41.412739Z
750,0,0.0,0.0,0.6225,0.6676750000000001,249.0,,2025-12-22T00:21:42.139155Z
1000,0,0.0,0.0,0.7125,0.6586250000000001,285.0,,2025-12-22T00:21:42.741290Z
1250,0,0.0,0.0,0.755,0.615175,302.0,,2025-12-22T00:21:43.356560Z
1500,0,0.0,0.0,0.7625,0.7035000000000001,305.0,,2025-12-22T00:21:43.960676Z
1750,1,8850.323986210395,35401.29594484158,0.2125,0.666875,85.0,,2025-12-22T00:21:44.569367Z
2000,1,8850.323986210395,35401.29594484158,0.4975,0.6248750000000001,199.0,,2025-12-22T00:21:45.172223Z
2250,1,8850.323986210395,35401.29594484158,0.6825,0.5536000000000001,273.0,3741.41845703125,2025-12-22T00:21:47.174210Z
2500,1,8850.323986210395,35401.29594484158,0.745,0.675175,298.0,3741.41845703125,2025-12-22T00:21:47.793990Z
2750,1,8850.323986210395,35401.29594484158,0.8,0.657475,320.0,3741.41845703125,2025-12-22T00:21:48.512496Z
3000,1,8850.323986210395,35401.29594484158,0.845,0.66765,338.0,3741.41845703125,2025-12-22T00:21:49.106385Z
3250,2,9500.743993246928,38002.97597298771,0.0775,0.35632500000000017,31.0,3741.41845703125,2025-12-22T00:21:49.701845Z
3500,2,9500.743993246928,38002.97597298771,0.4,0.5791000000000001,160.0,3741.41845703125,2025-12-22T00:21:50.318454Z
3750,2,9500.743993246928,38002.97597298771,0.58,0.6641250000000001,232.0,3741.41845703125,2025-12-22T00:21:50.929726Z
4000,2,9500.743993246928,38002.97597298771,0.7175,0.6307750000000002,287.0,3741.41845703125,2025-12-22T00:21:51.531242Z
4250,2,9500.743993246928,38002.97597298771,0.7925,0.6887750000000001,317.0,5549.72802734375,2025-12-22T00:21:53.477353Z
4500,2,9500.743993246928,38002.97597298771,0.8375,0.5880000000000001,335.0,5549.72802734375,2025-12-22T00:21:54.069215Z
4750,2,9500.743993246928,38002.97597298771,0.8925,0.5594750000000001,357.0,5549.72802734375,2025-12-22T00:21:54.815897Z
5000,3,9754.322095677568,39017.28838271027,0.2525,0.58835,101.0,5549.72802734375,2025-12-22T00:21:55.442536Z
5250,3,9754.322095677568,39017.28838271027,0.4075,0.6973500000000001,163.0,5549.72802734375,2025-12-22T00:21:56.046605Z
5500,3,9754.322095677568,39017.28838271027,0.4675,0.6694500000000001,187.0,5549.72802734375,2025-12-22T00:21:56.651476Z
5750,3,9754.322095677568,39017.28838271027,0.63,0.6967,252.0,5549.72802734375,2025-12-22T00:21:57.240371Z
6000,3,9754.322095677568,39017.28838271027,0.7275,0.8318500000000002,291.0,5549.72802734375,2025-12-22T00:21:57.904743Z
6250,3,9754.322095677568,39017.28838271027,0.775,0.750975,310.0,4282.78662109375,2025-12-22T00:21:59.877824Z
6500,4,9299.099005757598,37196.39602303039,0.16,0.6611000000000001,64.0,4282.78662109375,2025-12-22T00:22:00.602487Z
6750,4,9299.099005757598,37196.39602303039,0.4375,0.533,175.0,4282.78662109375,2025-12-22T00:22:01.201136Z
7000,4,9299.099005757598,37196.39602303039,0.5975,0.6081000000000001,239.0,4282.78662109375,2025-12-22T00:22:01.839822Z
7250,4,9299.099005757598,37196.39602303039,0.6525,0.580675,261.0,4282.78662109375,2025-12-22T00:22:02.431960Z
7500,4,9299.099005757598,37196.39602303039,0.7325,0.5976500000000001,293.0,4282.78662109375,2025-12-22T00:22:03.022485Z
7750,4,9299.099005757598,37196.39602303039,0.8,0.543725,320.0,4282.78662109375,2025-12-22T00:22:03.623228Z
