#{"t_start": 1768113364.6996894, "env_id": "SecurityEnv"}
r,l,t,coverage_ratio,average_threat_level
65775.88644750067,4000,1.8111765384674072,1.0,0.7682000000000001
64824.03795000078,4000,3.61077880859375,1.0,0.7834749999999999
64959.19402500057,4000,5.428873300552368,1.0,0.7697499999999999
60245.510862500756,4000,7.229806900024414,1.0,0.7619000000000001
65089.04286000079,4000,9.040462017059326,1.0,0.7819499999999999
69139.96331500055,4000,10.84424376487732,1.0,0.7800999999999999
64609.18939500062,4000,12.657687664031982,1.0,0.7736500000000001
65700.91051000085,4000,14.453241348266602,1.0,0.7597499999999999
64773.40941000075,4000,16.263137102127075,1.0,0.7645000000000002
64206.97816750067,4000,18.09633779525757,1.0,0.77995
65571.33846500059,4000,19.90738844871521,1.0,0.7757500000000002
66284.30816500074,4000,21.718342065811157,1.0,0.77765
67203.81162500067,4000,23.526745080947876,1.0,0.78315
66178.63755500081,4000,25.33549213409424,1.0,0.7564500000000001
67215.18267000056,4000,27.15669083595276,1.0,0.78155
66896.68798750067,4000,28.982004165649414,1.0,0.7749000000000001
65268.78659000069,4000,30.80640745162964,1.0,0.779375
67810.5440725006,4000,32.726505517959595,1.0,0.7741750000000002
65713.33730000083,4000,34.556936502456665,1.0,0.7827500000000001
64244.91040500069,4000,36.35685086250305,1.0,0.7583249999999999
65827.7122400007,4000,38.181336402893066,1.0,0.7721750000000001
65587.98927250055,4000,39.998409271240234,1.0,0.7654250000000001
67938.06623000055,4000,41.814005613327026,1.0,0.77085
63149.58369500058,4000,43.62947082519531,1.0,0.75595
64272.40208000061,4000,45.44573497772217,1.0,0.7612499999999999
67419.92670000065,4000,47.261662006378174,1.0,0.7741750000000001
67612.96034500074,4000,49.06861138343811,1.0,0.7771250000000001
66721.30291250076,4000,50.850868225097656,1.0,0.7810750000000002
62351.08747750069,4000,52.64668798446655,1.0,0.77125
65148.39258000053,4000,54.44155836105347,1.0,0.7689500000000001
67790.44100750056,4000,56.239564418792725,1.0,0.7757
66066.03749000044,4000,58.04857897758484,1.0,0.7662
65063.03719000078,4000,59.83652687072754,1.0,0.7772749999999999
66367.32843750065,4000,61.63290190696716,1.0,0.7780750000000001
63133.19136250069,4000,63.47428035736084,1.0,0.7808250000000001
64948.03661250067,4000,65.43550610542297,1.0,0.7622249999999999
63870.55835250065,4000,67.23580527305603,1.0,0.77845
63383.10432000072,4000,69.02314949035645,1.0,0.7583500000000001
65877.56124500059,4000,70.80886578559875,1.0,0.77805
65407.95246750073,4000,72.66124176979065,1.0,0.7810500000000001
66749.85926250067,4000,74.47765946388245,1.0,0.775275
63393.31465500072,4000,76.29522824287415,1.0,0.771575
63640.109665000746,4000,78.09087657928467,1.0,0.772
63600.68581500058,4000,79.89078068733215,1.0,0.7581
66019.63806000064,4000,81.69021654129028,1.0,0.7724500000000002
65985.21710750072,4000,83.50288319587708,1.0,0.78155
64411.64284500074,4000,85.30340504646301,1.0,0.7810750000000002
66931.76001250057,4000,87.09274768829346,1.0,0.7594
63856.07683500063,4000,88.90132737159729,1.0,0.78475
67451.93731000056,4000,90.70121574401855,1.0,0.77775
