r,l,t,coverage_ratio,average_threat_level,coverage_100_step,approx_kl,clip_fraction,entropy_loss,policy_gradient_loss,value_loss,explained_variance
28739.006692500017,4000,2.684640645980835,1.0,0.5489,324,0.0,0.0,0.0,0.0,0.0,0.0
29070.938038125052,4000,5.3915064334869385,1.0,0.4846250000000001,325,0.0,0.0,0.0,0.0,0.0,0.0
29929.9409075001,4000,8.138713836669922,1.0,0.46245000000000014,318,0.0,0.0,0.0,0.0,0.0,0.0
29720.41648250002,4000,10.910721778869629,1.0,0.47917500000000013,324,0.0,0.0,0.0,0.0,0.0,0.0
29256.67096937494,4000,13.562965631484985,1.0,0.636825,321,0.0,0.0,0.0,0.0,0.0,0.0
29178.910121874982,4000,16.272021532058716,1.0,0.4939,328,0.0,0.0,0.0,0.0,0.0,0.0
28316.66196874996,4000,18.97991108894348,1.0,0.44402500000000006,319,0.0,0.0,0.0,0.0,0.0,0.0
29686.08781187497,4000,21.745601177215576,1.0,0.48090000000000016,328,0.0,0.0,0.0,0.0,0.0,0.0
29086.078126874927,4000,24.432696104049683,1.0,0.49922500000000014,324,0.0,0.0,0.0,0.0,0.0,0.0
30224.955219375013,4000,27.174105644226074,1.0,0.48445000000000005,323,0.0,0.0,0.0,0.0,0.0,0.0
28796.871632500017,4000,29.872538805007935,1.0,0.4807500000000001,320,0.0,0.0,0.0,0.0,0.0,0.0
28867.828280624948,4000,32.58587288856506,1.0,0.41595,323,0.0,0.0,0.0,0.0,0.0,0.0
30631.81291812501,4000,35.233497858047485,1.0,0.5613000000000001,321,0.0,0.0,0.0,0.0,0.0,0.0
29298.152093749966,4000,37.941471099853516,1.0,0.44785,325,0.0,0.0,0.0,0.0,0.0,0.0
30526.24402937489,4000,40.633222818374634,1.0,0.43965000000000004,321,0.0,0.0,0.0,0.0,0.0,0.0
30610.012896250064,4000,43.36488723754883,1.0,0.443575,325,0.0,0.0,0.0,0.0,0.0,0.0
28896.03804750004,4000,46.10736131668091,1.0,0.4348250000000001,332,0.0,0.0,0.0,0.0,0.0,0.0
30126.157451249997,4000,48.850945234298706,1.0,0.465175,317,0.0,0.0,0.0,0.0,0.0,0.0
29485.719989999983,4000,51.572375535964966,1.0,0.49217500000000003,321,0.0,0.0,0.0,0.0,0.0,0.0
29373.05816125005,4000,54.32077097892761,1.0,0.44262500000000005,323,0.0,0.0,0.0,0.0,0.0,0.0
29431.422420000054,4000,57.07498264312744,1.0,0.49284999999999995,321,0.0,0.0,0.0,0.0,0.0,0.0
28500.40303812508,4000,59.832690954208374,1.0,0.47555000000000014,327,0.0,0.0,0.0,0.0,0.0,0.0
30205.808875625033,4000,62.57341432571411,1.0,0.43579999999999997,325,0.0,0.0,0.0,0.0,0.0,0.0
28878.32335812499,4000,65.2821261882782,1.0,0.4439500000000001,323,0.0,0.0,0.0,0.0,0.0,0.0
29529.428370624963,4000,68.05672931671143,1.0,0.477075,327,0.0,0.0,0.0,0.0,0.0,0.0
29281.310235000034,4000,70.77627658843994,1.0,0.4488250000000001,320,0.0,0.0,0.0,0.0,0.0,0.0
29572.175111874963,4000,73.49887537956238,1.0,0.47254999999999997,328,0.0,0.0,0.0,0.0,0.0,0.0
29452.218951249986,4000,76.25821304321289,1.0,0.41780000000000006,329,0.0,0.0,0.0,0.0,0.0,0.0
28524.745180625046,4000,78.97005581855774,1.0,0.4747,320,0.0,0.0,0.0,0.0,0.0,0.0
29567.35410437504,4000,81.70988440513611,1.0,0.46515,321,0.0,0.0,0.0,0.0,0.0,0.0
28052.51190187499,4000,84.53211736679077,1.0,0.57235,323,0.0,0.0,0.0,0.0,0.0,0.0
29158.862033750036,4000,87.304603099823,1.0,0.50165,324,0.0,0.0,0.0,0.0,0.0,0.0
30127.811318125034,4000,90.03501439094543,1.0,0.450425,325,0.0,0.0,0.0,0.0,0.0,0.0
28106.315652500052,4000,92.76891326904297,1.0,0.46315000000000006,324,0.0,0.0,0.0,0.0,0.0,0.0
29307.176430000094,4000,95.52103734016418,1.0,0.5762250000000002,328,0.0,0.0,0.0,0.0,0.0,0.0
30038.012489374934,4000,98.27570748329163,1.0,0.487825,325,0.0,0.0,0.0,0.0,0.0,0.0
28736.185788749975,4000,101.03965854644775,1.0,0.4401000000000002,321,0.0,0.0,0.0,0.0,0.0,0.0
28861.52408687502,4000,103.75412821769714,1.0,0.47077500000000017,317,0.0,0.0,0.0,0.0,0.0,0.0
29293.134969374998,4000,106.52598547935486,1.0,0.4276500000000001,325,0.0,0.0,0.0,0.0,0.0,0.0
28705.504725625025,4000,109.32552552223206,1.0,0.58925,321,0.0,0.0,0.0,0.0,0.0,0.0
28026.987288750035,4000,112.10363125801086,1.0,0.4896000000000001,324,0.0,0.0,0.0,0.0,0.0,0.0
28875.456858124988,4000,114.79063987731934,1.0,0.530675,321,0.0,0.0,0.0,0.0,0.0,0.0
28354.380403125004,4000,117.51754951477051,1.0,0.505075,326,0.0,0.0,0.0,0.0,0.0,0.0
29970.405793124974,4000,120.28245210647583,1.0,0.4492500000000001,326,0.0,0.0,0.0,0.0,0.0,0.0
30610.46729249996,4000,123.00320768356323,1.0,0.5681,321,0.0,0.0,0.0,0.0,0.0,0.0
28957.30722562496,4000,125.74952483177185,1.0,0.476675,321,0.0,0.0,0.0,0.0,0.0,0.0
28588.30954062498,4000,128.52441930770874,1.0,0.4680499999999999,330,0.0,0.0,0.0,0.0,0.0,0.0
29185.232751874875,4000,131.40348482131958,1.0,0.47035000000000005,323,0.0,0.0,0.0,0.0,0.0,0.0
29216.570146249993,4000,134.18666648864746,1.0,0.549625,324,0.0,0.0,0.0,0.0,0.0,0.0
28937.41134625006,4000,136.94413685798645,1.0,0.4316750000000001,329,0.0,0.0,0.0,0.0,0.0,0.0
