timestep,episode,reward,coverage_ratio,threat_level_avg,visited_cells
16750,5,8979.3981225,0.2275,0.94,0
17000,5,12041.8981225,0.2275,0.94,0
17250,5,15104.3981225,0.2275,0.94,0
17500,5,18166.898122500003,0.2275,0.94,0
17750,5,21229.398122500003,0.2275,0.94,0
18000,5,24291.898122500003,0.2275,0.94,0
18250,5,27354.398122500003,0.2275,0.94,0
18500,5,32610.69812250031,0.2275,0.94,0
18750,5,38148.198122500675,0.2275,0.94,0
19000,5,43685.69812250104,0.2275,0.94,0
19250,5,49223.1981225014,0.2275,0.94,0
19500,5,54760.698122501766,0.2275,0.94,0
19750,5,60298.19812250213,0.2275,0.94,0
20000,5,65835.69812250239,0.2275,0.94,0
20250,6,459.598122500003,0.0525,0.965,0
20500,6,797.0981225000087,0.0525,0.965,0
20750,6,1134.598122500005,0.0525,0.965,0
21000,6,1472.0981224999823,0.0525,0.965,0
21250,6,1809.5981224999596,0.0525,0.965,0
21500,6,2147.098122499937,0.0525,0.965,0
21750,6,2484.598122499914,0.0525,0.965,0
22000,6,2822.0981224998914,0.0525,0.965,0
22250,6,3159.5981224998686,0.0525,0.965,0
22500,6,3497.098122499846,0.0525,0.965,0
22750,6,3834.598122499823,0.0525,0.965,0
23000,6,6559.898122499804,0.0525,0.965,0
23250,6,11847.398122499713,0.0525,0.965,0
23500,6,17134.898122499686,0.0525,0.965,0
23750,6,22422.39812250005,0.0525,0.965,0
24000,6,27709.898122500414,0.0525,0.965,0
24250,7,1147.848122499996,0.15,0.9525,0
24500,7,1610.3481224999732,0.15,0.9525,0
24750,7,2072.8481224999505,0.15,0.9525,0
25000,7,2535.3481224999277,0.15,0.9525,0
25250,7,4385.74812249991,0.15,0.9525,0
25500,7,12051.448122499827,0.15,0.9525,0
25750,7,19938.948122499645,0.15,0.9525,0
26000,7,27826.448122499463,0.15,0.9525,0
26250,7,35713.94812249962,0.15,0.9525,0
26500,7,43601.44812250035,0.15,0.9525,0
26750,7,51488.948122501075,0.15,0.9525,0
27000,7,59376.4481225018,0.15,0.9525,0
27250,7,67263.94812250252,0.15,0.9525,0
27500,7,75151.44812250325,0.15,0.9525,0
27750,7,83038.94812250398,0.15,0.9525,0
28000,7,90926.4481225047,0.15,0.9525,0
28250,8,2837.618947500001,0.2825,0.7611250000000002,0
28500,8,6829.468947499997,0.585,0.7561,0
28750,8,9796.518947500004,0.59,0.94,0
29000,8,12859.018947500004,0.59,0.94,0
29250,8,17481.71894750004,0.59,0.94,0
29500,8,23019.218947500405,0.59,0.94,0
29750,8,28556.71894750077,0.59,0.94,0
30000,8,34094.21894750113,0.59,0.94,0
30250,8,39631.7189475015,0.59,0.94,0
30500,8,45169.21894750186,0.59,0.94,0
30750,8,50706.718947502224,0.59,0.94,0
31000,8,58012.318947502834,0.59,0.94,0
31250,8,66024.81894750356,0.59,0.94,0
31500,8,75062.91894750374,0.59,0.94,0
31750,8,85550.41894750301,0.59,0.94,0
32000,8,96037.91894750229,0.59,0.94,0
32250,9,3144.4407100000026,0.285,0.760925,0
32500,9,5786.890710000028,0.36,0.94,0
32750,9,8849.390710000027,0.36,0.94,0
33000,9,11911.890710000027,0.36,0.94,0
33250,9,16603.89070999999,0.36,0.94,0
33500,9,23553.090710000062,0.36,0.94,0
33750,9,31565.59070999988,0.36,0.94,0
34000,9,39578.09071000047,0.36,0.94,0
34250,9,47590.5907100012,0.36,0.94,0
34500,9,55603.090710001925,0.36,0.94,0
34750,9,63615.59071000265,0.36,0.94,0
35000,9,71628.09071000338,0.36,0.94,0
35250,9,79640.59071000411,0.36,0.94,0
35500,9,87653.09071000484,0.36,0.94,0
35750,9,95665.59071000556,0.36,0.94,0
36000,9,103678.09071000629,0.36,0.94,0
36250,10,901.9480875000042,0.1,0.9525,0
36500,10,1364.448087499989,0.1,0.9525,0
36750,10,1826.9480874999663,0.1,0.9525,0
37000,10,2289.4480874999435,0.1,0.9525,0
