r,l,t,coverage_ratio,average_threat_level,coverage_100_step
39234.41335937514,4000,0.8302774429321289,1.0,0.15624999999999997,60
34633.76917187511,4000,1.6604745388031006,1.0,0.3621875000000001,67
39879.853984375244,4000,2.327387571334839,1.0,0.3070312500000001,70
38684.23360937499,4000,3.0480165481567383,1.0,0.1534375,52
43552.20621875021,4000,3.852311849594116,1.0,0.11453124999999997,54
37974.21984375008,4000,4.6683149337768555,1.0,0.26671875,69
42420.92862500019,4000,5.5167436599731445,1.0,0.08640624999999999,31
43129.9822968752,4000,6.3250508308410645,1.0,0.24125000000000002,33
34728.9503437502,4000,7.116164445877075,1.0,0.069375,36
39889.23532812518,4000,7.770914793014526,1.0,0.24328125000000003,72
35627.564562500316,4000,8.389896631240845,1.0,0.22859375,62
40837.733843750146,4000,9.035512685775757,1.0,0.36140625000000015,64
39409.08717187518,4000,9.693366050720215,1.0,0.27171875000000006,66
39272.02876562511,4000,10.326156616210938,1.0,0.24078125000000006,33
39405.14009375023,4000,10.928701400756836,1.0,0.1459375,61
36254.23425000007,4000,11.537271976470947,1.0,0.16203125000000002,56
38952.56045312519,4000,12.16229510307312,1.0,0.2115625,55
39977.10526562503,4000,12.774075508117676,1.0,0.22921875000000005,42
38822.32757812508,4000,13.38495135307312,1.0,0.27156250000000004,43
34740.74110937506,4000,14.027085304260254,1.0,0.11796874999999998,33
40970.11579687542,4000,14.63649845123291,1.0,0.12421874999999999,63
43886.36490625036,4000,15.274943828582764,1.0,0.15671875000000002,60
36054.227343750186,4000,15.867998123168945,1.0,0.22046875000000005,49
36605.41634375019,4000,16.470269918441772,1.0,0.10999999999999999,35
38528.21984375016,4000,17.09502935409546,1.0,0.18078125,53
49268.9587343752,4000,17.695327043533325,1.0,0.20593750000000008,51
40407.70289062521,4000,18.30898642539978,1.0,0.27875000000000005,43
40725.821343750125,4000,18.988575220108032,1.0,0.13968750000000002,57
37267.03082812512,4000,19.798889875411987,1.0,0.20312500000000003,64
40514.8399843753,4000,20.608696937561035,1.0,0.13765625000000004,65
35588.948546875086,4000,21.404045343399048,1.0,0.10250000000000002,66
33673.303968750115,4000,22.224568367004395,1.0,0.15249999999999997,78
38879.591500000264,4000,22.842875242233276,1.0,0.2712500000000001,48
40859.81578125031,4000,23.456112146377563,1.0,0.19328125000000002,22
37254.70062500011,4000,24.13541007041931,1.0,0.10187500000000001,67
33647.77632812491,4000,24.95405626296997,1.0,0.3887500000000001,67
44424.58254687532,4000,25.77487826347351,1.0,0.09265625000000002,62
45758.146140625286,4000,26.629573106765747,1.0,0.14859375,46
42739.048046875156,4000,27.444463968276978,1.0,0.22234375000000003,63
40631.885500000186,4000,28.26032853126526,1.0,0.18171875000000004,51
40785.90629687524,4000,29.114222049713135,1.0,0.15546875000000002,67
41884.40276562532,4000,29.93511700630188,1.0,0.23468750000000008,67
37202.30857812504,4000,30.746941566467285,1.0,0.30937500000000007,45
41036.82545312539,4000,31.39661931991577,1.0,0.09234375,65
41221.15581250014,4000,32.003838300704956,1.0,0.2775000000000001,71
38554.19914062523,4000,32.6067852973938,1.0,0.29796875000000006,44
39943.0722500001,4000,33.20142841339111,1.0,0.20406249999999998,55
41792.23489062503,4000,33.79843306541443,1.0,0.23734375000000008,34
35896.8647187503,4000,34.40693640708923,1.0,0.26343750000000005,58
36738.560937500064,4000,35.01278328895569,1.0,0.25875000000000004,67
