#{"t_start": 1768103138.6831396, "env_id": "None"}
r,l,t,coverage_ratio,average_threat_level
41223.755958,4000,8.19078,1.0,0.74905
39901.564745,4000,16.707892,1.0,0.7124749999999997
41134.01689,4000,25.400502,1.0,0.6268
32980.384737,4000,34.148039,0.9746192893401016,0.641875
42640.883822,4000,42.869181,1.0,0.636325
41579.075138,4000,51.491787,1.0,0.512425
42893.232157,4000,60.342172,1.0,0.674375
43892.455691,4000,68.984649,1.0,0.4217750000000002
45563.563253,4000,77.749338,1.0,0.6149250000000002
47239.951045,4000,86.481103,1.0,0.5011000000000002
41890.381626,4000,95.198559,1.0,0.6426500000000002
