r,l,t,coverage_ratio,average_threat_level,coverage_100_step
33248.1886562501,4000,0.8220696449279785,1.0,0.34453125000000007,125
34789.959906250006,4000,1.6299962997436523,1.0,0.3278125000000002,109
33417.09620312515,4000,2.4873878955841064,1.0,0.3165625000000001,131
34151.23695312513,4000,3.2817306518554688,1.0,0.25812500000000005,111
34712.04926562518,4000,4.016146183013916,1.0,0.2620312500000001,108
35713.17887499997,4000,4.615097761154175,1.0,0.41453125000000013,141
34280.2487968751,4000,5.202041387557983,1.0,0.2723437500000001,122
37353.682953125084,4000,5.790501117706299,1.0,0.21531250000000002,123
36734.30789062524,4000,6.377756595611572,1.0,0.1678125,88
33868.542859375135,4000,6.98154354095459,1.0,0.3176562500000001,107
32814.63643749997,4000,7.6441123485565186,1.0,0.37093750000000014,29
32569.73825000019,4000,8.297685623168945,1.0,0.2603125,126
31818.84440625001,4000,8.92838716506958,1.0,0.28390625,129
36425.1841406251,4000,9.567453861236572,1.0,0.31843750000000004,110
36375.84292187501,4000,10.196892023086548,1.0,0.2803125000000001,106
35036.577968750185,4000,10.849529266357422,1.0,0.32968750000000013,89
34415.51579687505,4000,11.46727967262268,1.0,0.23875000000000002,114
34646.50782812517,4000,12.132803916931152,1.0,0.33296875000000004,139
34279.92781250012,4000,12.767754316329956,1.0,0.44734375000000015,112
31055.490828125014,4000,13.429670333862305,1.0,0.3795312500000001,124
36228.46878125007,4000,14.07770586013794,1.0,0.35906250000000006,100
36087.0540625003,4000,14.687266826629639,1.0,0.25234375000000003,113
34837.31203124998,4000,15.293320655822754,1.0,0.24218750000000006,127
35982.80026562522,4000,15.926650762557983,1.0,0.2365625,128
37031.164859375145,4000,16.642701864242554,1.0,0.3545312500000001,103
33462.7323437502,4000,17.374802112579346,1.0,0.2782812500000001,117
34996.12171874999,4000,17.98382830619812,1.0,0.3006250000000001,122
35769.80351562509,4000,18.63568353652954,1.0,0.2734375,119
43768.41750000012,4000,19.285382747650146,1.0,0.1015625,78
32558.778484375118,4000,19.8747661113739,1.0,0.28593750000000007,118
35635.19093750003,4000,20.48461890220642,1.0,0.34453125000000007,137
34086.683156250045,4000,21.111197233200073,1.0,0.3765625000000001,126
34095.22557812517,4000,21.814456939697266,1.0,0.2826562500000001,116
35625.21537500018,4000,22.71460723876953,1.0,0.35796875000000006,124
34892.89681250018,4000,23.530513525009155,1.0,0.24968750000000006,104
36703.18317187515,4000,24.36064124107361,1.0,0.5098437500000002,111
36428.392875000216,4000,25.080480813980103,1.0,0.25953125000000005,107
33060.484421875124,4000,25.918819665908813,1.0,0.40859375000000014,111
35613.08831250005,4000,26.724996089935303,1.0,0.31859375,133
30549.000750000105,4000,27.562678813934326,1.0,0.3585937500000001,109
32399.395687500022,4000,28.381165742874146,1.0,0.30281250000000004,114
37171.23635937513,4000,29.19213366508484,1.0,0.32843750000000016,113
35972.40700000011,4000,29.822871923446655,1.0,0.31140625,130
33712.261750000194,4000,30.606431007385254,1.0,0.4606250000000002,123
33859.00371875007,4000,31.405919551849365,1.0,0.2968750000000001,114
37594.38296875004,4000,32.18197250366211,1.0,0.34250000000000014,127
35032.48287500013,4000,32.979418992996216,1.0,0.2967187500000001,122
33369.21526562511,4000,33.789594650268555,1.0,0.30781250000000004,125
34943.777171875205,4000,34.5915253162384,1.0,0.3298437500000001,99
34873.27151562516,4000,35.44134759902954,1.0,0.3046875,105
