#{"t_start": 1768102737.4281585, "env_id": "None"}
r,l,t,coverage_ratio,average_threat_level
49825.87202,4000,8.116021,1.0,0.7604750000000002
45348.103506,4000,15.861526,1.0,0.7146000000000001
47941.89146,4000,23.604825,1.0,0.6645749999999999
46850.042156,4000,31.57817,1.0,0.8367
54678.711211,4000,39.519053,1.0,0.6013250000000001
53289.787113,4000,47.589043,1.0,0.6123000000000002
56364.871133,4000,55.403224,1.0,0.6212000000000003
53952.36176,4000,63.10724,1.0,0.6289500000000001
56013.972038,4000,71.878947,1.0,0.6102000000000002
58646.570609,4000,80.402286,1.0,0.7501000000000001
59267.084005,4000,88.132559,1.0,0.5321250000000002
53391.986454,4000,95.901,1.0,0.6512750000000002
54797.740995,4000,103.716533,1.0,0.8302500000000002
57846.505624,4000,111.471506,1.0,0.5831250000000002
57153.004729,4000,119.231845,1.0,0.5250000000000002
53126.13889,4000,126.99102,1.0,0.7419000000000002
56188.814251,4000,135.129281,1.0,0.6624750000000001
58869.393961,4000,142.996905,1.0,0.54945
54421.405449,4000,150.831681,1.0,0.6214750000000001
55086.76879,4000,158.633942,1.0,0.706875
61153.056868,4000,166.557769,1.0,0.5786250000000002
52418.901127,4000,173.225262,1.0,0.5458000000000001
58819.003585,4000,181.218188,1.0,0.8314499999999999
54917.538339,4000,189.022521,1.0,0.6045000000000001
57557.014369,4000,196.92185,1.0,0.6519250000000001
53632.737397,4000,205.795064,1.0,0.5321500000000002
56102.674429,4000,213.742849,1.0,0.7456250000000003
56835.645358,4000,221.628062,1.0,0.7577000000000002
59237.004656,4000,229.43181,1.0,0.5773750000000001
56300.308958,4000,237.311128,1.0,0.5854
54640.223948,4000,245.126695,1.0,0.582125
56416.964192,4000,252.932098,1.0,0.5119250000000001
63821.792073,4000,260.863414,1.0,0.4820000000000001
54252.0657,4000,269.138916,1.0,0.42802500000000004
60914.265624,4000,276.961916,1.0,0.6255000000000001
60103.253789,4000,284.885194,1.0,0.48522500000000024
56941.83555,4000,292.913017,1.0,0.513325
53497.778227,4000,300.888595,1.0,0.7736
57497.871369,4000,309.131484,1.0,0.514325
56201.673062,4000,317.070193,1.0,0.582225
62114.134108,4000,325.093606,1.0,0.4555000000000001
60584.267579,4000,333.233347,1.0,0.6468250000000001
59084.50253,4000,339.954973,1.0,0.4844750000000002
61711.78458,4000,347.934652,1.0,0.5686500000000001
52204.992798,4000,355.952996,1.0,0.6387250000000002
54109.609464,4000,364.056438,1.0,0.7365750000000001
55901.165045,4000,372.176895,1.0,0.7915000000000001
58034.959088,4000,380.486644,1.0,0.5676000000000001
55451.971014,4000,388.507522,1.0,0.5427250000000001
56058.75161,4000,396.576981,1.0,0.5690750000000001
