#{"t_start": 1768062611.6071544, "env_id": "None"}
r,l,t,coverage_ratio,average_threat_level
32784.205954,4000,9.296905,1.0,0.627525
35196.343107,4000,19.496901,1.0,0.571675
37369.200915,4000,29.465945,1.0,0.621925
34481.818773,4000,39.406729,1.0,0.644075
32550.516247,4000,49.258988,1.0,0.6021000000000002
34569.861161,4000,59.265749,1.0,0.5744000000000002
37044.683905,4000,69.136355,1.0,0.535425
34606.990896,4000,79.098868,1.0,0.42020000000000013
35281.505963,4000,89.592842,1.0,0.4552000000000001
31970.539441,4000,99.754567,1.0,0.6669250000000001
36894.038449,4000,109.991174,1.0,0.39070000000000016
36213.852867,4000,120.111959,1.0,0.3826250000000001
38301.801743,4000,130.397443,1.0,0.3871750000000001
36649.917307,4000,140.939428,1.0,0.33905000000000013
34570.620827,4000,151.299392,1.0,0.34955000000000014
35028.396549,4000,161.70711,1.0,0.42087500000000005
36292.677234,4000,172.300918,1.0,0.48140000000000016
37919.2271,4000,182.63889,1.0,0.4144
35714.295684,4000,193.334884,1.0,0.31805000000000005
37016.701781,4000,204.136703,1.0,0.3973750000000001
35953.770417,4000,214.860647,1.0,0.5534250000000001
37687.583639,4000,223.811698,1.0,0.52295
35038.900759,4000,234.572138,1.0,0.5778000000000002
35837.778989,4000,245.402783,1.0,0.46890000000000015
36507.222541,4000,256.450668,1.0,0.5394250000000003
38830.437358,4000,267.217187,1.0,0.3423250000000001
41889.639284,4000,278.143817,1.0,0.294675
36665.864853,4000,289.813215,1.0,0.48767499999999997
36765.071601,4000,300.964594,1.0,0.3277750000000001
35464.017048,4000,312.173057,1.0,0.5189000000000002
38514.262614,4000,323.6087,1.0,0.5277000000000001
37020.178194,4000,334.630378,1.0,0.5291250000000002
35215.552047,4000,346.377213,1.0,0.4251250000000001
36693.021529,4000,358.051561,1.0,0.47690000000000005
37570.846747,4000,369.215499,1.0,0.3865500000000002
37657.354684,4000,380.768858,1.0,0.37162500000000015
39296.032836,4000,392.269164,1.0,0.2986750000000001
36891.190804,4000,404.408965,1.0,0.3896500000000001
35650.690819,4000,415.949298,1.0,0.39690000000000014
37348.868107,4000,427.683841,1.0,0.30482500000000007
36909.022252,4000,439.134454,1.0,0.5473250000000001
38279.677825,4000,450.52265,1.0,0.4896000000000001
35474.665734,4000,460.263573,1.0,0.5034250000000002
37287.011213,4000,471.754581,1.0,0.4771000000000001
37689.562202,4000,483.182701,1.0,0.5025000000000002
41014.408369,4000,495.498615,1.0,0.34735
39904.178892,4000,507.049517,1.0,0.41837500000000005
38091.109531,4000,518.999457,1.0,0.5681500000000003
38992.508059,4000,531.247363,1.0,0.40650000000000014
35915.917675,4000,544.313106,1.0,0.529475
