timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,exploration_score,loss,timestamp
12500,7,13801.69314141066,27603.38628282132,0.6625,0.8615500000000001,265.0,11999.798828125,2025-12-22T00:17:38.269725Z
12750,7,13801.69314141066,27603.38628282132,0.6925,0.7684750000000001,277.0,11999.798828125,2025-12-22T00:17:38.773379Z
13000,8,13850.12205266417,27700.24410532834,0.2525,0.7379000000000001,101.0,11999.798828125,2025-12-22T00:17:39.307074Z
13250,8,13850.12205266417,27700.24410532834,0.4175,0.6603249999999999,167.0,11999.798828125,2025-12-22T00:17:39.815738Z
13500,8,13850.12205266417,27700.24410532834,0.5725,0.8163250000000001,229.0,11999.798828125,2025-12-22T00:17:40.320378Z
13750,8,13850.12205266417,27700.24410532834,0.6875,0.8240500000000001,275.0,11999.798828125,2025-12-22T00:17:40.971719Z
14000,8,13850.12205266417,27700.24410532834,0.7375,0.7657250000000001,295.0,11999.798828125,2025-12-22T00:17:41.499345Z
14250,8,13850.12205266417,27700.24410532834,0.815,0.7968750000000001,326.0,11999.798828125,2025-12-22T00:17:42.005997Z
14500,9,14128.537380225749,28257.074760451498,0.0975,0.7760000000000001,39.0,12952.005859375,2025-12-22T00:17:43.682631Z
14750,9,14128.537380225749,28257.074760451498,0.23,0.8232,92.0,12952.005859375,2025-12-22T00:17:44.175082Z
15000,9,14128.537380225749,28257.074760451498,0.325,0.8550249999999999,130.0,12952.005859375,2025-12-22T00:17:44.673002Z
15250,9,14128.537380225749,28257.074760451498,0.3575,0.8277249999999999,143.0,12952.005859375,2025-12-22T00:17:45.197845Z
15500,9,14128.537380225749,28257.074760451498,0.485,0.6708500000000001,194.0,12952.005859375,2025-12-22T00:17:45.700942Z
15750,9,14128.537380225749,28257.074760451498,0.5225,0.7518250000000001,209.0,12952.005859375,2025-12-22T00:17:46.339505Z
16000,10,14100.684637610428,28201.369275220855,0.6725,0.6686250000000001,269.0,12952.005859375,2025-12-22T00:17:46.861702Z
16250,10,14100.684637610428,28201.369275220855,0.2625,0.7544250000000001,105.0,12952.005859375,2025-12-22T00:17:47.389356Z
16500,10,14100.684637610428,28201.369275220855,0.3825,0.71225,153.0,10911.24609375,2025-12-22T00:17:49.065853Z
16750,10,14100.684637610428,28201.369275220855,0.575,0.6107500000000001,230.0,10911.24609375,2025-12-22T00:17:49.577549Z
17000,10,14100.684637610428,28201.369275220855,0.7125,0.6717250000000001,285.0,10911.24609375,2025-12-22T00:17:50.095472Z
17250,10,14100.684637610428,28201.369275220855,0.79,0.658875,316.0,10911.24609375,2025-12-22T00:17:50.616531Z
17500,10,14100.684637610428,28201.369275220855,0.8475,0.7737500000000002,339.0,10911.24609375,2025-12-22T00:17:51.132248Z
17750,11,14648.555936938898,29297.111873877795,0.1975,0.6360000000000001,79.0,10911.24609375,2025-12-22T00:17:51.790343Z
18000,11,14648.555936938898,29297.111873877795,0.4225,0.6956250000000002,169.0,10911.24609375,2025-12-22T00:17:52.310601Z
18250,11,14648.555936938898,29297.111873877795,0.515,0.7558500000000001,206.0,10911.24609375,2025-12-22T00:17:52.825355Z
18500,11,14648.555936938898,29297.111873877795,0.6325,0.75275,253.0,15601.1787109375,2025-12-22T00:17:54.550013Z
